Cardiol Therapeutics Price to Free Cash Flow Ratio Historical Data,Cardiol Therapeutics Price to Free Cash Flow Ratio Historical Data,Cardiol Therapeutics Price to Free Cash Flow Ratio Historical Data,Cardiol Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.19,,0.0
2024-09-30,1.98,$-0.28,0.0
2024-06-30,2.02,$-0.24,0.0
2024-03-31,1.81,$-0.25,0.0
2023-12-31,0.84,$-0.29,0.0
2023-09-30,0.9,$-0.33,0.0
2023-06-30,0.89,$-0.34,0.0
2023-03-31,0.49,$-0.34,0.0
2022-12-31,0.51,$-0.34,0.0
2022-09-30,1.03,$-0.59,0.0
