Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.1,,20.85
2024-12-31,31.36,$1.64,19.17
2024-09-30,28.59,$1.67,17.07
2024-06-30,27.95,$1.67,16.71
2024-03-31,27.65,$2.04,13.54
2023-12-31,24.5,$1.98,12.37
2023-09-30,24.97,$2.29,10.92
2023-06-30,23.6,$2.14,11.01
2023-03-31,22.77,$2.42,9.4
2022-12-31,20.81,$2.82,7.38
2022-09-30,20.13,$2.66,7.57
2022-06-30,20.26,$3.23,6.27
2022-03-31,21.09,$3.09,6.82
2021-12-31,17.6,$2.88,6.1
2021-09-30,17.01,$2.55,6.66
2021-06-30,18.6,$1.90,9.8
2021-03-31,16.65,$1.38,12.09
2020-12-31,14.5,$1.19,12.2
2020-09-30,11.38,$0.95,11.95
2020-06-30,12.78,$1.04,12.27
2020-03-31,9.82,$1.33,7.38
2019-12-31,19.02,$0.91,20.83
2019-09-30,18.98,$1.05,18.04
2019-06-30,18.89,$1.01,18.64
2019-03-31,18.76,$0.82,22.94
2018-12-31,15.6,$0.94,16.53
2018-09-30,17.94,$1.01,17.79
2018-06-30,17.03,$0.53,31.95
2018-03-31,14.82,$0.67,22.2
2017-12-31,15.81,$0.74,21.23
2017-09-30,15.29,$0.75,20.52
2017-06-30,15.64,$1.11,14.06
2017-03-31,15.71,$0.80,19.73
2016-12-31,15.17,$0.54,28.07
2016-09-30,15.27,$0.27,56.81
2016-06-30,15.94,$0.75,21.18
2016-03-31,13.22,$0.77,17.12
2015-12-31,13.5,$0.89,15.16
2015-09-30,12.95,$0.98,13.26
2015-06-30,15.35,$0.44,34.92
2015-03-31,16.72,$0.31,53.11
2014-12-31,18.14,$0.67,27.09
2014-09-30,20.05,$0.73,27.65
2014-06-30,19.3,$0.72,26.82
2014-03-31,16.93,$0.55,30.59
2013-12-31,16.01,$0.40,39.97
2013-09-30,14.58,$-0.33,0.0
2013-06-30,14.68,$-0.75,0.0
2013-03-31,14.09,$-0.49,0.0
2012-12-31,11.57,$-0.41,0.0
2012-09-30,12.3,$-0.20,0.0
2012-06-30,11.62,$-0.10,0.0
2012-03-31,11.31,$-0.06,0.0
2011-12-31,10.26,$-0.31,0.0
2011-09-30,8.76,$0.28,31.72
2011-06-30,9.3,$0.35,26.43
2011-03-31,9.14,$-0.13,0.0
2010-12-31,8.71,$0.66,13.29
2010-09-30,8.19,$2.54,3.23
2010-06-30,7.19,$2.70,2.67
2010-03-31,6.92,$3.05,2.27
2009-12-31,6.18,$2.01,3.08
