Tigo Energy Price to Free Cash Flow Ratio Historical Data,Tigo Energy Price to Free Cash Flow Ratio Historical Data,Tigo Energy Price to Free Cash Flow Ratio Historical Data,Tigo Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.0
2024-12-31,0.98,$-0.23,0.0
2024-09-30,1.7,$-0.69,0.0
2024-06-30,1.54,$-0.90,0.0
2024-03-31,1.07,$-0.63,0.0
2023-12-31,2.09,$-0.91,0.0
2023-09-30,7.01,$-1.19,0.0
2023-06-30,18.55,$-2.41,0.0
2023-03-31,10.45,$-3.96,0.0
2022-12-31,10.2,$-3.57,0.0
2022-09-30,10.03,$-2.86,0.0
2022-06-30,9.93,$-1.55,0.0
