Skillsoft Price to Free Cash Flow Ratio Historical Data,Skillsoft Price to Free Cash Flow Ratio Historical Data,Skillsoft Price to Free Cash Flow Ratio Historical Data,Skillsoft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.81,,43.64
2024-10-31,15.27,$0.48,32.02
2024-07-31,17.2,$-1.65,0.0
2024-04-30,7.19,$-2.69,0.0
2024-01-31,14.02,$-1.87,0.0
2023-10-31,18.8,$-2.61,0.0
2023-07-31,26.4,$-2.77,0.0
2023-04-30,24.6,$-3.02,0.0
2023-01-31,38.4,$-4.56,0.0
2022-10-31,35.8,$-0.68,0.0
2022-07-31,76.8,$0.06,1381.29
2022-04-30,107.0,$-181.05,0.0
2022-01-31,148.4,$7.37,20.14
2021-10-31,242.6,$1.82,133.15
2021-07-31,174.0,$6.39,27.24
2021-04-30,199.4,$202.68,0.98
2021-03-31,200.0,$2.73,73.33
2021-01-31,202.2,$2.48,81.51
2020-12-31,207.0,$0.73,284.11
2020-10-31,199.4,$-11.30,0.0
2020-09-30,211.0,$-0.94,0.0
2020-07-31,212.8,$1.04,205.33
2020-06-30,226.0,$1.10,205.06
2020-03-31,199.0,$-0.61,0.0
