South Plains Financial Price to Free Cash Flow Ratio Historical Data,South Plains Financial Price to Free Cash Flow Ratio Historical Data,South Plains Financial Price to Free Cash Flow Ratio Historical Data,South Plains Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.92,,9.94
2024-12-31,34.75,$3.31,10.49
2024-09-30,33.77,$3.49,9.68
2024-06-30,26.77,$3.95,6.78
2024-03-31,26.39,$2.87,9.18
2023-12-31,28.43,$3.16,8.99
2023-09-30,25.83,$2.94,8.78
2023-06-30,21.88,$3.10,7.05
2023-03-31,20.68,$4.26,4.85
2022-12-31,26.47,$6.64,3.99
2022-09-30,26.4,$7.51,3.51
2022-06-30,23.02,$6.33,3.64
2022-03-31,25.23,$8.46,2.98
2021-12-31,26.3,$5.13,5.13
2021-09-30,22.97,$2.54,9.06
2021-06-30,21.71,$4.40,4.93
2021-03-31,21.26,$0.40,53.28
2020-12-31,17.69,$0.14,127.78
2020-09-30,11.54,$2.20,5.24
2020-06-30,13.21,$-0.20,0.0
2020-03-31,14.34,$1.74,8.23
