TPG RE Finance Trust Price to Free Cash Flow Ratio Historical Data,TPG RE Finance Trust Price to Free Cash Flow Ratio Historical Data,TPG RE Finance Trust Price to Free Cash Flow Ratio Historical Data,TPG RE Finance Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.5,,6.36
2024-12-31,8.5,$1.34,6.36
2024-09-30,8.53,$2.26,3.78
2024-06-30,8.4,$2.28,3.68
2024-03-31,7.3,$2.10,3.48
2023-12-31,5.96,$1.94,3.08
2023-09-30,5.96,$1.92,3.11
2023-06-30,6.33,$1.83,3.45
2023-03-31,6.0,$3.14,1.91
2022-12-31,5.42,$3.24,1.68
2022-09-30,5.39,$3.12,1.73
2022-06-30,6.73,$3.29,2.04
2022-03-31,8.6,$2.36,3.65
2021-12-31,8.79,$2.28,3.85
2021-09-30,8.62,$1.60,5.38
2021-06-30,9.19,$1.60,5.76
2021-03-31,7.54,$1.56,4.84
2020-12-31,7.03,$1.72,4.08
2020-09-30,5.4,$1.79,3.02
2020-06-30,5.36,$1.88,2.85
2020-03-31,3.19,$1.78,1.79
2019-12-31,10.94,$1.67,6.54
2019-09-30,10.49,$1.68,6.25
2019-06-30,9.98,$1.56,6.41
2019-03-31,9.92,$1.70,5.83
2018-12-31,9.05,$1.71,5.3
2018-09-30,9.69,$1.75,5.53
2018-06-30,9.62,$2.55,3.78
