Sify Technologies Price to Free Cash Flow Ratio Historical Data,Sify Technologies Price to Free Cash Flow Ratio Historical Data,Sify Technologies Price to Free Cash Flow Ratio Historical Data,Sify Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.49,,0.0
2024-12-31,2.86,$-0.40,0.0
2024-09-30,2.16,$0.44,4.93
2024-06-30,2.64,$-0.40,0.0
2024-03-31,7.56,$-0.40,0.0
2023-12-31,11.19,$-1.28,0.0
2023-09-30,10.98,$-1.67,0.0
2023-06-30,11.28,$-1.28,0.0
2023-03-31,7.56,$-1.28,0.0
2022-12-31,6.91,$-1.93,0.0
2022-09-30,10.26,$-1.62,0.0
2022-06-30,11.7,$-1.93,0.0
2022-03-31,17.94,$-1.93,0.0
2021-12-31,19.38,$-0.96,0.0
2021-09-30,20.28,$-0.90,0.0
2021-06-30,21.72,$0.08,257.35
2020-12-31,7.62,$0.50,15.34
2020-09-30,6.12,$0.94,6.51
2019-12-31,7.38,$-0.00,0.0
2019-09-30,8.46,$-0.08,0.0
2018-09-30,8.95,$-0.31,0.0
2017-09-30,7.87,$0.21,37.24
2017-06-30,4.17,$-0.25,0.0
2016-09-30,5.85,$0.19,30.65
2016-03-31,7.2,0,0.0
2015-12-31,5.58,0,0.0
2015-09-30,5.95,$0.44,13.38
2015-06-30,8.5,0,0.0
2015-03-31,7.23,0,0.0
2014-09-30,11.04,$-0.34,0.0
2014-06-30,12.55,0,0.0
2014-03-31,11.57,0,0.0
2013-12-31,11.8,0,0.0
2013-09-30,10.07,$1.36,7.4
2013-06-30,9.74,0,0.0
2013-03-31,10.91,0,0.0
2012-12-31,10.79,0,0.0
2012-09-30,12.8,$-0.73,0.0
2012-06-30,13.41,0,0.0
2012-03-31,18.08,0,0.0
2011-12-31,22.37,0,0.0
2011-09-30,22.2,$-0.66,0.0
2011-06-30,25.65,0,0.0
2011-03-31,19.97,0,0.0
2010-12-31,12.57,$0.02,748.47
2010-09-30,16.47,$1.48,11.11
2010-06-30,7.46,$0.84,8.84
2010-03-31,9.4,$0.02,559.7
2009-12-31,9.57,$-5.34,0.0
