NKGen Biotech Price to Free Cash Flow Ratio Historical Data,NKGen Biotech Price to Free Cash Flow Ratio Historical Data,NKGen Biotech Price to Free Cash Flow Ratio Historical Data,NKGen Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-04,0.19,,0.0
2024-09-30,0.38,$-0.64,0.0
2024-06-30,1.27,$-1.05,0.0
2024-03-31,1.89,$-1.24,0.0
2023-12-31,2.75,$-1.43,0.0
2023-09-30,6.56,$-1.86,0.0
2023-06-30,10.33,$-4.34,0.0
2023-03-31,10.13,$-3.93,0.0
2022-12-31,9.95,$-3.57,0.0
2022-09-30,9.75,$-2.87,0.0
2022-06-30,9.71,$-0.12,0.0
