Bowman Consulting Group Price to Free Cash Flow Ratio Historical Data,Bowman Consulting Group Price to Free Cash Flow Ratio Historical Data,Bowman Consulting Group Price to Free Cash Flow Ratio Historical Data,Bowman Consulting Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.06,,16.07
2024-12-31,24.95,$1.50,16.66
2024-09-30,24.08,$0.75,32.05
2024-06-30,31.79,$0.99,32.07
2024-03-31,34.79,$0.52,66.92
2023-12-31,35.52,$0.80,44.19
2023-09-30,28.03,$0.51,54.71
2023-06-30,31.88,$0.48,66.24
2023-03-31,28.71,$0.94,30.43
2022-12-31,21.85,$0.71,30.75
2022-09-30,14.6,$1.17,12.44
2022-06-30,12.34,$1.05,11.75
2022-03-31,16.44,$0.74,22.3
