Singularity Future Technology Price to Free Cash Flow Ratio Historical Data,Singularity Future Technology Price to Free Cash Flow Ratio Historical Data,Singularity Future Technology Price to Free Cash Flow Ratio Historical Data,Singularity Future Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.62,$-1.32,0.0
2024-09-30,1.55,$-1.66,0.0
2024-06-30,4.98,$-1.77,0.0
2024-03-31,5.1,$-1.58,0.0
2023-12-31,5.4,$-0.99,0.0
2023-09-30,5.26,$-0.14,0.0
2023-06-30,4.92,$-1.59,0.0
2023-03-31,6.8,$-5.10,0.0
2022-12-31,4.2,$5.75,0.73
2022-09-30,25.0,$1.73,14.46
2022-06-30,30.3,$2.81,10.77
2022-03-31,140.2,$1.04,134.63
2021-12-31,47.7,$-9.52,0.0
2021-09-30,22.9,$-11.24,0.0
2021-06-30,32.3,$-11.80,0.0
2021-03-31,64.8,$-7.49,0.0
2020-12-31,20.6,$-8.31,0.0
2020-09-30,14.2,$-4.12,0.0
2020-06-30,30.5,$-11.32,0.0
2020-03-31,18.38,$-14.23,0.0
2019-12-31,22.5,$-7.31,0.0
2019-09-30,38.03,$-1.35,0.0
2019-06-30,35.5,$-15.31,0.0
2019-03-31,44.7,$-16.82,0.0
2018-12-31,38.33,$-21.82,0.0
2018-09-30,58.5,$-29.08,0.0
2018-06-30,59.25,$-10.94,0.0
2018-03-31,56.0,$-6.15,0.0
2017-12-31,128.0,$-1.43,0.0
2017-09-30,153.5,$3.11,49.29
2017-06-30,144.0,$16.38,8.79
2017-03-31,137.5,$1.37,100.71
2016-12-31,155.0,$14.67,10.56
2016-09-30,64.5,$11.80,5.47
2016-06-30,34.0,$1.00,33.94
2016-03-31,32.3,$18.45,1.75
2015-12-31,45.0,$-8.09,0.0
2015-09-30,41.35,$-19.87,0.0
2015-06-30,76.0,$-13.98,0.0
2015-03-31,72.0,$-22.22,0.0
2014-12-31,79.0,$-17.64,0.0
2014-09-30,108.0,$-0.01,0.0
2014-06-30,100.5,$-15.30,0.0
2014-03-31,129.51,$14.74,8.79
2013-12-31,125.0,$8.40,14.88
2013-09-30,126.5,$-34.88,0.0
2013-06-30,70.55,$-46.90,0.0
2013-03-31,93.5,$-95.59,0.0
2012-12-31,89.5,$-68.92,0.0
2012-09-30,109.35,$-13.97,0.0
2012-06-30,133.5,$2.46,54.21
2012-03-31,117.01,$20.28,5.77
2011-12-31,110.0,$-9.58,0.0
2011-09-30,105.5,$-27.77,0.0
2011-06-30,72.51,$-16.58,0.0
2011-03-31,112.5,$5.83,19.28
2010-12-31,119.0,$-14.24,0.0
2010-09-30,120.5,$-2.60,0.0
2010-06-30,117.51,$-17.70,0.0
2010-03-31,204.5,$-32.82,0.0
2009-12-31,165.5,$-0.08,0.0
