Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data,Reliance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,281.5,,15.77
2024-12-31,269.26,$17.85,15.09
2024-09-30,288.22,$18.79,15.34
2024-06-30,283.51,$18.02,15.74
2024-03-31,330.54,$16.14,20.48
2023-12-31,275.69,$20.56,13.41
2023-09-30,257.55,$24.84,10.37
2023-06-30,265.78,$28.14,9.44
2023-03-31,250.19,$28.30,8.84
2022-12-31,196.51,$29.07,6.76
2022-09-30,168.58,$22.91,7.36
2022-06-30,163.45,$15.21,10.75
2022-03-31,175.66,$12.67,13.87
2021-12-31,154.69,$9.31,16.62
2021-09-30,135.23,$6.79,19.91
2021-06-30,142.67,$9.46,15.09
2021-03-31,143.39,$15.86,9.04
2020-12-31,112.24,$15.44,7.27
2020-09-30,95.14,$16.93,5.62
2020-06-30,87.99,$19.28,4.56
2020-03-31,80.67,$16.51,4.89
2019-12-31,109.5,$15.73,6.96
2019-09-30,90.68,$16.55,5.48
2019-06-30,86.1,$11.28,7.63
2019-03-31,81.6,$7.60,10.74
2018-12-31,63.94,$6.27,10.2
2018-09-30,76.16,$3.43,22.2
2018-06-30,77.72,$4.37,17.8
2018-03-31,75.72,$3.96,19.11
2017-12-31,75.34,$3.60,20.91
2017-09-30,66.49,$3.99,16.65
2017-06-30,63.16,$3.96,15.94
2017-03-31,68.99,$4.16,16.58
2016-12-31,68.2,$6.57,10.38
2016-09-30,61.43,$7.29,8.43
2016-06-30,65.21,$8.16,7.99
2016-03-31,58.36,$11.35,5.14
2015-12-31,48.55,$11.48,4.23
2015-09-30,44.97,$9.47,4.75
2015-06-30,50.03,$6.97,7.18
2015-03-31,50.21,$3.40,14.78
2014-12-31,50.01,$2.11,23.74
2014-09-30,55.54,$1.77,31.31
2014-06-30,59.55,$3.73,15.98
2014-03-31,56.81,$6.07,9.36
2013-12-31,60.67,$6.15,9.87
2013-09-30,58.35,$8.47,6.89
2013-06-30,51.97,$8.77,5.93
2013-03-31,56.16,$7.12,7.89
2012-12-31,48.35,$5.23,9.24
2012-09-30,40.58,$4.14,9.8
2012-06-30,38.96,$2.26,17.27
2012-03-31,43.44,$1.69,25.74
2011-12-31,37.34,$1.16,32.06
2011-09-30,26.01,$0.50,52.09
2011-06-30,37.86,$0.49,76.49
2011-03-31,43.95,$0.64,68.76
2010-12-31,38.78,$1.42,27.27
2010-09-30,31.45,$1.43,22.06
2010-06-30,27.31,$2.13,12.82
2010-03-31,37.11,$6.74,5.5
2009-12-31,32.51,$11.86,2.74
