Tsakos Energy Navigation Price to Free Cash Flow Ratio Historical Data,Tsakos Energy Navigation Price to Free Cash Flow Ratio Historical Data,Tsakos Energy Navigation Price to Free Cash Flow Ratio Historical Data,Tsakos Energy Navigation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.35,,1.95
2024-09-30,23.8,$8.91,2.67
2024-06-30,27.15,$-4.39,0.0
2024-03-31,23.55,$8.91,2.64
2023-12-31,20.61,$8.91,2.31
2023-09-30,18.63,$-0.47,0.0
2023-06-30,15.98,$12.00,1.33
2023-03-31,17.12,$-0.47,0.0
2022-12-31,14.92,$-0.47,0.0
2022-09-30,13.34,$2.30,5.81
2022-06-30,7.76,$-2.91,0.0
2022-03-31,7.6,$2.30,3.31
2021-12-31,6.26,$2.30,2.73
2021-09-30,9.25,$-8.29,0.0
2021-06-30,7.34,$-0.21,0.0
2021-03-31,8.09,$-1.05,0.0
2020-09-30,6.68,0,0.0
2020-06-30,8.47,$9.48,0.89
2019-06-30,13.25,$5.54,2.39
2019-03-31,12.29,$2.59,4.75
2018-06-30,14.54,$-3.95,0.0
2018-03-31,12.72,$-12.19,0.0
2017-06-30,18.07,$-16.07,0.0
2017-03-31,17.84,$-15.87,0.0
2016-06-30,16.69,$-7.28,0.0
2016-03-31,21.99,$0.31,70.93
2015-12-31,27.81,$3.48,8.0
2015-09-30,28.3,$4.38,6.46
2015-06-30,32.91,$-2.84,0.0
2015-03-31,28.07,$-6.46,0.0
2014-12-31,23.75,$-9.31,0.0
2014-09-30,21.54,$-8.29,0.0
2014-06-30,22.41,$-2.87,0.0
2014-03-31,25.8,$-3.02,0.0
2013-12-31,19.98,$-2.48,0.0
2013-09-30,17.15,$-0.76,0.0
2013-06-30,15.54,$-6.22,0.0
2013-03-31,14.03,$-1.93,0.0
2012-12-31,12.09,$1.57,7.68
2012-09-30,16.44,$-2.80,0.0
2012-06-30,15.03,$0.02,933.34
2012-03-31,26.01,$-4.43,0.0
2011-12-31,14.01,$-2.29,0.0
2011-09-30,15.91,$-13.83,0.0
2011-06-30,28.01,$-24.50,0.0
2011-03-31,30.3,$-25.05,0.0
2010-12-31,27.16,$-19.80,0.0
2010-09-30,35.75,$2.19,16.34
2010-06-30,37.64,$1.57,23.92
2010-03-31,38.39,$8.21,4.67
2009-12-31,38.18,$5.59,6.83
