Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data,Otter Tail Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.35,,33.66
2024-12-31,73.84,$2.45,30.18
2024-09-30,77.71,$2.38,32.71
2024-06-30,86.63,$3.35,25.89
2024-03-31,85.02,$3.94,21.59
2023-12-31,83.17,$2.94,28.29
2023-09-30,73.9,$3.51,21.04
2023-06-30,76.49,$3.59,21.28
2023-03-31,69.62,$3.90,17.86
2022-12-31,56.17,$5.31,10.59
2022-09-30,58.42,$4.64,12.6
2022-06-30,63.43,$4.31,14.72
2022-03-31,58.66,$2.83,20.73
2021-12-31,66.58,$1.65,40.28
2021-09-30,51.87,$-0.93,0.0
2021-06-30,44.91,$-2.84,0.0
2021-03-31,42.14,$-3.28,0.0
2020-12-31,38.53,$-3.78,0.0
2020-09-30,32.41,$-1.15,0.0
2020-06-30,34.44,$-1.85,0.0
2020-03-31,39.1,$-1.43,0.0
2019-12-31,44.81,$-0.35,0.0
2019-09-30,46.62,$-0.71,0.0
2019-06-30,45.49,$1.34,34.05
2019-03-31,42.62,$1.30,32.78
2018-12-31,42.17,$1.01,41.63
2018-09-30,40.4,$1.29,31.28
2018-06-30,39.87,$0.90,44.26
2018-03-31,36.04,$0.88,40.85
2017-12-31,36.65,$1.14,32.26
2017-09-30,35.5,$0.91,38.94
2017-06-30,32.18,$0.92,34.87
2017-03-31,30.53,$0.01,2827.28
2016-12-31,32.6,$0.18,181.3
2016-09-30,27.39,$-0.10,0.0
2016-06-30,26.28,$-0.36,0.0
2016-03-31,23.01,$0.07,344.4
2015-12-31,20.44,$-1.03,0.0
2015-09-30,19.78,$-0.39,0.0
2015-06-30,19.97,$-0.34,0.0
2015-03-31,23.87,$-0.94,0.0
2014-12-31,22.75,$-1.32,0.0
2014-09-30,19.4,$-1.94,0.0
2014-06-30,21.81,$-2.22,0.0
2014-03-31,21.93,$-1.39,0.0
2013-12-31,20.64,$-0.27,0.0
2013-09-30,19.27,$1.39,13.86
2013-06-30,19.62,$3.77,5.2
2013-03-31,21.3,$3.69,5.77
2012-12-31,16.92,$3.37,5.02
2012-09-30,15.94,$2.08,7.67
2012-06-30,15.05,$0.54,27.79
2012-03-31,14.12,$0.72,19.68
2011-12-31,14.14,$1.08,13.11
2011-09-30,11.58,$1.86,6.22
2011-06-30,13.16,$1.02,12.86
2011-03-31,13.99,$2.06,6.8
2010-12-31,13.69,$1.32,10.37
2010-09-30,12.21,$-0.02,0.0
2010-06-30,11.4,$-0.90,0.0
2010-03-31,12.78,$-1.21,0.0
2009-12-31,14.23,$-0.22,0.0
