Direct Digital Holdings Price to Free Cash Flow Ratio Historical Data,Direct Digital Holdings Price to Free Cash Flow Ratio Historical Data,Direct Digital Holdings Price to Free Cash Flow Ratio Historical Data,Direct Digital Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.79,,0.0
2024-09-30,2.11,$-2.51,0.0
2024-06-30,4.03,$-2.88,0.0
2024-03-31,15.24,$-1.88,0.0
2023-12-31,14.88,$0.80,18.68
2023-09-30,2.56,$1.67,1.53
2023-06-30,2.85,$1.41,2.02
2023-03-31,3.24,$1.65,1.97
2022-12-31,2.43,$0.48,5.09
