Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data,Littelfuse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,211.35,,17.49
2024-12-31,235.65,$12.08,19.5
2024-09-30,264.47,$11.48,23.03
2024-06-30,254.18,$14.39,17.66
2024-03-31,240.42,$15.37,15.64
2023-12-31,264.71,$14.82,17.86
2023-09-30,244.01,$13.16,18.54
2023-06-30,286.71,$12.68,22.62
2023-03-31,263.25,$12.88,20.44
2022-12-31,215.72,$12.65,17.05
2022-09-30,194.17,$13.96,13.9
2022-06-30,247.65,$12.49,19.83
2022-03-31,242.64,$11.31,21.45
2021-12-31,305.49,$11.96,25.54
2021-09-30,264.86,$10.86,24.4
2021-06-30,246.47,$9.31,26.48
2021-03-31,255.33,$8.76,29.15
2020-12-31,245.45,$8.40,29.22
2020-09-30,170.57,$7.67,22.23
2020-06-30,163.69,$8.15,20.07
2020-03-31,127.6,$8.11,15.73
2019-12-31,182.49,$7.64,23.88
2019-09-30,168.69,$7.79,21.65
2019-06-30,167.81,$9.05,18.55
2019-03-31,172.65,$9.19,18.79
2018-12-31,161.87,$10.57,15.32
2018-09-30,186.35,$10.83,17.21
2018-06-30,214.45,$10.02,21.39
2018-03-31,195.32,$10.52,18.57
2017-12-31,185.27,$8.91,20.8
2017-09-30,183.14,$8.82,20.76
2017-06-30,153.94,$8.07,19.09
2017-03-31,148.89,$6.35,23.45
2016-12-31,141.03,$5.90,23.89
2016-09-30,119.42,$4.80,24.9
2016-06-30,109.29,$4.49,24.36
2016-03-31,113.54,$4.90,23.16
2015-12-31,98.44,$5.37,18.35
2015-09-30,83.61,$5.06,16.51
2015-06-30,86.78,$5.59,15.52
2015-03-31,90.67,$5.58,16.25
2014-12-31,87.96,$5.32,16.52
2014-09-30,77.3,$4.71,16.42
2014-06-30,84.13,$3.86,21.77
2014-03-31,84.54,$3.42,24.75
2013-12-31,83.7,$3.66,22.84
2013-09-30,70.26,$4.21,16.7
2013-06-30,66.83,$4.31,15.52
2013-03-31,60.61,$4.67,12.99
2012-12-31,54.96,$4.40,12.48
2012-09-30,50.16,$4.29,11.7
2012-06-30,50.29,$4.25,11.82
2012-03-31,55.25,$4.44,12.44
2011-12-31,37.75,$4.65,8.12
2011-09-30,35.18,$4.28,8.23
2011-06-30,51.16,$4.43,11.56
2011-03-31,49.62,$3.90,12.71
2010-12-31,40.78,$3.90,10.46
2010-09-30,37.74,$4.15,9.09
2010-06-30,27.3,$2.49,10.96
2010-03-31,32.83,$1.55,21.2
2009-12-31,27.77,$0.72,38.74
