Park Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Park Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Park Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Park Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.59,,10.4
2024-12-31,14.07,$1.11,12.62
2024-09-30,14.1,$1.04,13.59
2024-06-30,14.72,$0.85,17.42
2024-03-31,16.9,$0.91,18.64
2023-12-31,14.58,$1.55,9.39
2023-09-30,10.57,$1.40,7.54
2023-06-30,10.87,$1.77,6.14
2023-03-31,10.36,$2.34,4.43
2022-12-31,9.76,$1.68,5.79
2022-09-30,9.12,$1.40,6.52
2022-06-30,10.98,$2.18,5.04
2022-03-31,15.8,$1.53,10.3
2021-12-31,15.26,$1.11,13.7
2021-09-30,15.47,$0.64,24.09
2021-06-30,16.66,$-1.34,0.0
2021-03-31,17.45,$-2.36,0.0
2020-12-31,13.86,$-1.34,0.0
2020-09-30,8.08,$0.73,11.08
2020-06-30,8.0,$1.45,5.5
2020-03-31,6.39,$3.57,1.79
2019-12-31,19.82,$3.23,6.14
2019-09-30,18.74,$2.39,7.84
2019-06-30,20.31,$2.72,7.46
2019-03-31,22.53,$1.82,12.36
2018-12-31,18.57,$3.11,5.97
2018-09-30,22.58,$3.28,6.89
2018-06-30,20.8,$3.45,6.03
2018-03-31,17.82,$3.35,5.32
2017-12-31,18.67,$2.19,8.54
