S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data,S&P Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,497.2,,27.87
2024-12-31,498.03,$17.84,27.91
2024-09-30,515.72,$16.40,31.45
2024-06-30,444.42,$11.78,37.73
2024-03-31,423.95,$12.37,34.27
2023-12-31,438.04,$11.19,39.16
2023-09-30,362.56,$0.14,2584.21
2023-06-30,396.85,$2.90,137.0
2023-03-31,340.44,$-0.57,0.0
2022-12-31,329.88,$7.89,41.79
2022-09-30,300.02,$18.76,16.0
2022-06-30,330.44,$20.05,16.48
2022-03-31,401.16,$21.84,18.37
2021-12-31,460.68,$14.74,31.26
2021-09-30,414.07,$15.46,26.78
2021-06-30,399.3,$14.70,27.16
2021-03-31,342.59,$14.78,23.17
2020-12-31,318.39,$14.42,22.08
2020-09-30,348.56,$13.76,25.32
2020-06-30,317.89,$13.49,23.56
2020-03-31,235.92,$12.43,18.98
2019-12-31,262.26,$10.78,24.33
2019-09-30,234.79,$9.40,24.97
2019-06-30,217.84,$8.27,26.33
2019-03-31,200.82,$7.52,26.71
2018-12-31,161.63,$7.71,20.98
2018-09-30,185.31,$8.12,22.83
2018-06-30,192.9,$8.26,23.35
2018-03-31,180.31,$7.33,24.59
2017-12-31,159.45,$7.31,21.81
2017-09-30,146.77,$5.34,27.5
2017-06-30,136.71,$5.56,24.58
2017-03-31,122.07,$6.71,18.18
