Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data,Brink's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.81,,16.52
2024-12-31,92.77,$5.19,17.86
2024-09-30,115.37,$5.48,21.04
2024-06-30,101.94,$8.33,12.24
2024-03-31,91.73,$13.28,6.91
2023-12-31,87.1,$11.05,7.88
2023-09-30,71.71,$8.33,8.61
2023-06-30,66.76,$7.54,8.85
2023-03-31,65.52,$6.76,9.69
2022-12-31,52.52,$6.34,8.29
2022-09-30,47.21,$4.57,10.32
2022-06-30,58.96,$5.28,11.17
2022-03-31,65.81,$4.65,14.15
2021-12-31,63.27,$6.34,9.97
2021-09-30,60.91,$7.06,8.63
2021-06-30,73.74,$6.40,11.52
2021-03-31,75.84,$3.65,20.76
2020-12-31,68.78,$3.97,17.31
2020-09-30,39.13,$3.64,10.75
2020-06-30,43.17,$2.91,14.82
2020-03-31,49.18,$5.29,9.3
2019-12-31,85.52,$4.19,20.41
2019-09-30,78.1,$4.03,19.37
2019-06-30,76.31,$2.52,30.27
2019-03-31,70.75,$2.37,29.84
2018-12-31,60.54,$4.18,14.47
2018-09-30,65.17,$2.90,22.5
2018-06-30,74.37,$2.06,36.13
2018-03-31,66.4,$2.56,25.94
2017-12-31,73.09,$2.39,30.58
2017-09-30,78.1,$2.26,34.59
2017-06-30,61.98,$3.27,18.94
2017-03-31,49.32,$3.05,16.15
2016-12-31,37.98,$1.64,23.21
2016-09-30,34.06,$1.14,30.0
2016-06-30,26.08,$1.23,21.23
2016-03-31,30.65,$1.55,19.83
2015-12-31,26.24,$1.96,13.38
2015-09-30,24.48,$0.85,28.65
2015-06-30,26.58,$1.61,16.47
2015-03-31,24.88,$0.41,60.78
2014-12-31,21.89,$1.31,16.68
2014-09-30,21.46,$1.91,11.21
2014-06-30,25.1,$1.31,19.12
2014-03-31,25.29,$1.45,17.41
2013-12-31,30.15,$0.70,42.82
2013-09-30,24.92,$1.26,19.83
2013-06-30,22.38,$1.97,11.35
2013-03-31,24.7,$2.31,10.69
2012-12-31,24.85,$1.90,13.11
2012-09-30,22.3,$0.77,29.02
2012-06-30,20.03,$0.80,24.95
2012-03-31,20.54,$1.30,15.86
2011-12-31,23.05,$1.61,14.36
2011-09-30,19.91,$2.56,7.78
2011-06-30,25.4,$2.33,10.91
2011-03-31,28.09,$1.84,15.24
2010-12-31,22.72,$2.11,10.75
2010-09-30,19.37,$1.25,15.44
2010-06-30,15.94,$0.26,61.29
2010-03-31,23.55,$0.51,45.86
2009-12-31,20.22,$0.74,27.37
