Eastman Kodak Price to Free Cash Flow Ratio Historical Data,Eastman Kodak Price to Free Cash Flow Ratio Historical Data,Eastman Kodak Price to Free Cash Flow Ratio Historical Data,Eastman Kodak Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.51,,0.0
2024-09-30,4.72,$-0.37,0.0
2024-06-30,5.38,$0.05,118.5
2024-03-31,4.95,$0.23,21.37
2023-12-31,3.9,$0.07,58.82
2023-09-30,4.21,$0.14,30.55
2023-06-30,4.62,$-0.47,0.0
2023-03-31,4.1,$-1.12,0.0
2022-12-31,3.05,$-1.82,0.0
2022-09-30,4.59,$-2.21,0.0
2022-06-30,4.64,$-1.83,0.0
2022-03-31,6.55,$-1.24,0.0
2021-12-31,4.68,$-0.84,0.0
2021-09-30,6.81,$-0.52,0.0
2021-06-30,8.32,$0.46,18.07
2021-03-31,7.87,$-0.08,0.0
2020-12-31,8.14,$-0.91,0.0
2020-09-30,8.82,$-0.63,0.0
2020-06-30,2.23,$-1.28,0.0
2020-03-31,1.73,$-0.75,0.0
2019-12-31,4.65,$-0.07,0.0
2019-09-30,2.64,$0.08,33.29
2019-06-30,2.4,$-0.84,0.0
2019-03-31,2.96,$-1.45,0.0
2018-12-31,2.55,$-1.97,0.0
2018-09-30,3.1,$-2.13,0.0
2018-06-30,3.8,$-1.57,0.0
2018-03-31,5.35,$-1.62,0.0
2017-12-31,3.1,$-2.15,0.0
2017-09-30,7.35,$-2.31,0.0
2017-06-30,9.1,$-2.16,0.0
2017-03-31,11.5,$-1.80,0.0
2016-12-31,15.5,$-1.01,0.0
2016-09-30,15.0,$-0.36,0.0
2016-06-30,16.08,$-1.46,0.0
2016-03-31,10.85,$-1.62,0.0
2015-12-31,12.54,$-3.25,0.0
2015-09-30,15.62,$-4.83,0.0
2015-06-30,16.8,$-3.39,0.0
2015-03-31,18.99,$-5.19,0.0
2014-12-31,21.71,$-4.10,0.0
2014-09-30,21.97,$15.07,1.46
2014-06-30,24.47,$-0.36,0.0
