AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data,AbbVie Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,211.96,,21.07
2024-12-31,177.7,$10.06,17.67
2024-09-30,195.9,$8.80,22.25
2024-06-30,168.59,$10.03,16.82
2024-03-31,177.3,$12.35,14.36
2023-12-31,149.46,$12.44,12.01
2023-09-30,142.34,$13.94,10.21
2023-06-30,127.24,$13.96,9.11
2023-03-31,149.16,$13.23,11.27
2022-12-31,149.8,$13.64,10.98
2022-09-30,123.18,$12.34,9.98
2022-06-30,139.27,$12.50,11.14
2022-03-31,146.11,$12.40,11.78
2021-12-31,120.76,$12.37,9.76
2021-09-30,95.07,$12.77,7.44
2021-06-30,98.19,$11.31,8.68
2021-03-31,93.19,$10.19,9.14
2020-12-31,91.21,$10.04,9.09
2020-09-30,73.55,$8.98,8.19
2020-06-30,81.47,$9.07,8.98
2020-03-31,62.33,$9.13,6.83
2019-12-31,71.48,$8.61,8.3
2019-09-30,60.25,$8.50,7.09
2019-06-30,57.0,$8.46,6.74
2019-03-31,62.34,$8.65,7.21
2018-12-31,70.42,$8.27,8.51
2018-09-30,71.49,$7.78,9.19
2018-06-30,69.34,$6.81,10.18
2018-03-31,70.1,$6.21,11.28
2017-12-31,71.12,$5.88,12.09
2017-09-30,64.89,$5.28,12.3
2017-06-30,52.49,$4.13,12.72
2017-03-31,46.7,$4.04,11.56
2016-12-31,44.41,$4.02,11.04
2016-09-30,44.32,$4.29,10.32
2016-06-30,43.13,$4.67,9.24
2016-03-31,39.41,$4.62,8.53
2015-12-31,40.42,$4.28,9.45
2015-09-30,36.78,$2.66,13.82
2015-06-30,45.08,$2.48,18.21
2015-03-31,38.96,$2.42,16.12
2014-12-31,43.21,$1.82,23.69
2014-09-30,37.85,$2.96,12.78
2014-06-30,36.71,$3.01,12.2
2014-03-31,33.13,$3.22,10.29
2013-12-31,33.77,$3.60,9.38
