Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data,Fidelity National Information Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.41,,30.41
2024-12-31,80.77,$2.45,33.01
2024-09-30,83.39,$2.38,35.05
2024-06-30,74.72,$2.19,34.17
2024-03-31,73.2,$2.04,35.92
2023-12-31,58.97,$2.20,26.85
2023-09-30,53.79,$-0.58,0.0
2023-06-30,52.73,$-0.21,0.0
2023-03-31,51.88,$0.41,125.48
2022-12-31,64.23,$1.04,61.97
2022-09-30,71.05,$4.00,17.76
2022-06-30,85.72,$5.64,15.2
2022-03-31,93.46,$5.65,16.53
2021-12-31,101.06,$5.73,17.63
2021-09-30,112.25,$6.35,17.67
2021-06-30,130.29,$5.62,23.2
2021-03-31,128.97,$6.03,21.4
2020-12-31,129.4,$5.28,24.49
2020-09-30,134.34,$4.71,28.52
2020-06-30,122.07,$3.55,34.43
2020-03-31,110.45,$3.17,34.8
2019-12-31,125.92,$3.51,35.9
2019-09-30,119.89,$3.92,30.55
2019-06-30,110.49,$4.24,26.04
2019-03-31,101.57,$4.04,25.13
2018-12-31,91.8,$4.13,22.23
2018-09-30,97.34,$3.97,24.53
2018-06-30,94.35,$4.19,22.53
2018-03-31,85.44,$3.00,28.44
2017-12-31,83.21,$3.36,24.79
2017-09-30,82.34,$3.13,26.31
2017-06-30,75.06,$3.06,24.56
2017-03-31,69.74,$4.13,16.88
2016-12-31,66.03,$3.97,16.64
2016-09-30,67.01,$3.81,17.58
2016-06-30,63.88,$3.29,19.41
2016-03-31,54.69,$2.76,19.83
2015-12-31,52.14,$2.48,21.04
2015-09-30,57.47,$2.68,21.44
2015-06-30,52.74,$2.52,20.92
2015-03-31,57.85,$2.74,21.09
2014-12-31,52.66,$2.74,19.19
2014-09-30,47.47,$2.41,19.67
2014-06-30,45.96,$2.77,16.61
2014-03-31,44.68,$2.46,18.14
2013-12-31,44.67,$2.46,18.15
2013-09-30,38.48,$2.36,16.28
2013-06-30,35.33,$2.20,16.06
2013-03-31,32.51,$2.51,12.97
2012-12-31,28.4,$2.52,11.26
2012-09-30,25.33,$2.61,9.72
2012-06-30,27.48,$2.63,10.44
2012-03-31,26.54,$2.70,9.84
2011-12-31,21.17,$2.84,7.46
2011-09-30,19.33,$2.39,8.1
2011-06-30,24.42,$2.58,9.48
2011-03-31,25.89,$2.20,11.77
2010-12-31,21.66,$2.15,10.07
2010-09-30,21.41,$1.90,11.3
2010-06-30,21.13,$1.68,12.54
2010-03-31,18.43,$2.04,9.02
2009-12-31,18.39,$2.10,8.78
