Aptose Biosciences Price to Free Cash Flow Ratio Historical Data,Aptose Biosciences Price to Free Cash Flow Ratio Historical Data,Aptose Biosciences Price to Free Cash Flow Ratio Historical Data,Aptose Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.93,,0.0
2024-09-30,0.41,$-80.01,0.0
2024-06-30,0.76,$-110.18,0.0
2024-03-31,1.66,$-170.26,0.0
2023-12-31,2.54,$-198.36,0.0
2023-09-30,2.8,$-205.76,0.0
2023-06-30,4.64,$-195.88,0.0
2023-03-31,9.6,$-165.83,0.0
2022-12-31,8.7,$-157.92,0.0
2022-09-30,8.93,$-196.59,0.0
2022-06-30,11.13,$-204.27,0.0
2022-03-31,20.4,$-214.36,0.0
2021-12-31,20.25,$-219.92,0.0
2021-09-30,32.7,$-202.15,0.0
2021-06-30,49.8,$-193.81,0.0
2021-03-31,89.63,$-191.53,0.0
2020-12-31,65.7,$-186.89,0.0
2020-09-30,90.0,$-192.95,0.0
2020-06-30,94.65,$-186.02,0.0
2020-03-31,89.1,$-187.07,0.0
2019-12-31,85.05,$-194.42,0.0
2019-09-30,31.28,$-210.08,0.0
2019-06-30,39.15,$-238.91,0.0
2019-03-31,30.15,$-309.47,0.0
2018-12-31,28.65,$-317.35,0.0
2018-09-30,39.0,$-300.82,0.0
2018-06-30,59.1,$-271.89,0.0
2018-03-31,47.4,$-201.11,0.0
2017-12-31,33.6,$-206.54,0.0
2017-09-30,22.2,$-242.21,0.0
2017-06-30,18.45,$-287.67,0.0
2017-03-31,15.3,$-383.21,0.0
2016-12-31,20.85,$-437.86,0.0
2016-09-30,33.75,$-461.31,0.0
2016-06-30,36.75,$-487.42,0.0
2016-03-31,45.0,$-445.09,0.0
2015-12-31,37.95,$-393.17,0.0
2015-09-30,64.65,$-265.67,0.0
