Bon Natural Life Price to Free Cash Flow Ratio Historical Data,Bon Natural Life Price to Free Cash Flow Ratio Historical Data,Bon Natural Life Price to Free Cash Flow Ratio Historical Data,Bon Natural Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,inf
2024-09-30,1.95,0.0,0.0
2023-09-30,0.4,0.0,0.0
2023-03-31,1.42,0.0,0.0
