Telos Price to Free Cash Flow Ratio Historical Data,Telos Price to Free Cash Flow Ratio Historical Data,Telos Price to Free Cash Flow Ratio Historical Data,Telos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.69,,0.0
2024-12-31,3.42,$-0.55,0.0
2024-09-30,3.59,$-0.32,0.0
2024-06-30,4.02,$-0.23,0.0
2024-03-31,4.16,$-0.19,0.0
2023-12-31,3.65,$-0.20,0.0
2023-09-30,2.39,$-0.34,0.0
2023-06-30,2.56,$-0.18,0.0
2023-03-31,2.53,$0.03,95.11
2022-12-31,5.09,$0.04,123.24
2022-09-30,8.89,$0.05,177.45
2022-06-30,8.08,$0.07,120.42
2022-03-31,9.97,$0.01,791.27
2021-12-31,15.42,$-0.09,0.0
2021-09-30,28.42,$-0.20,0.0
