Protara Therapeutics Price to Free Cash Flow Ratio Historical Data,Protara Therapeutics Price to Free Cash Flow Ratio Historical Data,Protara Therapeutics Price to Free Cash Flow Ratio Historical Data,Protara Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.62,,0.0
2024-12-31,5.28,$-1.74,0.0
2024-09-30,1.83,$-1.96,0.0
2024-06-30,2.08,$-2.20,0.0
2024-03-31,4.01,$-3.09,0.0
2023-12-31,1.88,$-3.32,0.0
2023-09-30,1.67,$-2.99,0.0
2023-06-30,2.39,$-2.90,0.0
2023-03-31,3.13,$-2.53,0.0
2022-12-31,2.68,$-2.36,0.0
2022-09-30,2.96,$-2.53,0.0
2022-06-30,2.93,$-2.60,0.0
2022-03-31,5.11,$-3.01,0.0
2021-12-31,6.75,$-3.12,0.0
2021-09-30,6.92,$-3.17,0.0
2021-06-30,9.74,$-3.07,0.0
2021-03-31,15.74,$-3.12,0.0
2020-12-31,24.21,$-3.36,0.0
2020-09-30,16.83,$-3.12,0.0
2020-06-30,29.32,$-3.27,0.0
2020-03-31,23.0,$-2.91,0.0
2019-12-31,16.4,$-2.13,0.0
2019-09-30,10.4,$-10.78,0.0
2019-06-30,16.64,$-16.89,0.0
2019-03-31,20.12,$-39.78,0.0
2018-12-31,90.8,$-51.60,0.0
2018-09-30,78.0,$-56.39,0.0
2018-06-30,98.0,$-62.68,0.0
2018-03-31,100.0,$-46.29,0.0
2017-12-31,76.0,$-51.84,0.0
2017-09-30,80.0,$-51.52,0.0
2017-06-30,61.0,$-54.66,0.0
2017-03-31,70.0,$-61.48,0.0
2016-12-31,76.0,$-57.86,0.0
2016-09-30,373.2,$-56.98,0.0
2016-06-30,321.2,$-50.65,0.0
2016-03-31,309.6,$-48.03,0.0
2015-12-31,620.4,$-43.16,0.0
2015-09-30,556.4,$-161.53,0.0
