West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data,West Pharmaceutical Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,227.51,,60.66
2024-12-31,327.56,$3.75,87.34
2024-09-30,299.98,$4.34,69.17
2024-06-30,328.97,$4.77,68.94
2024-03-31,395.01,$5.14,76.91
2023-12-31,351.31,$5.50,63.82
2023-09-30,374.35,$5.56,67.32
2023-06-30,381.4,$5.25,72.71
2023-03-31,345.31,$5.41,63.79
2022-12-31,234.39,$5.80,40.43
2022-09-30,244.87,$5.10,48.0
2022-06-30,300.7,$5.27,57.1
2022-03-31,408.25,$5.01,81.52
2021-12-31,465.98,$4.33,107.54
2021-09-30,421.61,$4.44,94.93
2021-06-30,356.46,$3.74,95.4
2021-03-31,279.56,$4.05,69.03
2020-12-31,280.92,$3.93,71.43
2020-09-30,272.42,$3.65,74.68
2020-06-30,224.98,$3.72,60.45
2020-03-31,150.64,$3.28,46.0
2019-12-31,148.59,$3.19,46.53
2019-09-30,140.01,$2.86,48.98
2019-06-30,123.41,$2.66,46.37
2019-03-31,108.52,$2.46,44.05
2018-12-31,96.4,$2.44,39.52
2018-09-30,121.26,$2.55,47.62
2018-06-30,97.37,$2.28,42.63
2018-03-31,86.45,$2.20,39.34
2017-12-31,96.48,$1.75,55.19
2017-09-30,93.98,$1.38,67.88
2017-06-30,92.15,$1.10,83.7
2017-03-31,79.44,$0.92,86.58
2016-12-31,82.45,$0.66,125.68
2016-09-30,72.28,$0.65,111.63
2016-06-30,73.5,$0.91,80.47
2016-03-31,67.04,$1.05,63.86
2015-12-31,58.11,$1.09,53.07
2015-09-30,52.11,$1.04,50.25
2015-06-30,55.83,$0.99,56.15
2015-03-31,57.76,$0.85,67.85
2014-12-31,50.97,$0.98,52.26
2014-09-30,42.74,$1.14,37.57
2014-06-30,40.18,$0.99,40.73
2014-03-31,41.86,$1.25,33.41
2013-12-31,46.53,$0.96,48.43
2013-09-30,38.95,$1.05,37.26
2013-06-30,33.16,$1.03,32.08
2013-03-31,30.56,$0.42,72.21
2012-12-31,25.68,$0.78,32.86
2012-09-30,24.8,$0.39,63.56
2012-06-30,23.51,$0.28,85.03
2012-03-31,19.72,$0.36,54.64
2011-12-31,17.51,$0.48,36.71
2011-09-30,17.04,$0.72,23.78
2011-06-30,20.02,$0.93,21.61
2011-03-31,20.4,$0.87,23.56
2010-12-31,18.7,$0.92,20.42
2010-09-30,15.5,$0.90,17.32
2010-06-30,16.41,$0.63,25.95
2010-03-31,18.79,$0.75,25.13
2009-12-31,17.49,$0.45,38.71
