Shenandoah Telecommunications Co Price to Free Cash Flow Ratio Historical Data,Shenandoah Telecommunications Co Price to Free Cash Flow Ratio Historical Data,Shenandoah Telecommunications Co Price to Free Cash Flow Ratio Historical Data,Shenandoah Telecommunications Co Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.45,,0.0
2024-12-31,12.61,$-4.74,0.0
2024-09-30,14.01,$-4.18,0.0
2024-06-30,16.22,$-3.89,0.0
2024-03-31,17.25,$-3.47,0.0
2023-12-31,21.47,$-2.77,0.0
2023-09-30,20.39,$-2.67,0.0
2023-06-30,19.23,$-2.54,0.0
2023-03-31,18.82,$-2.03,0.0
2022-12-31,15.71,$-2.25,0.0
2022-09-30,16.77,$-10.36,0.0
2022-06-30,21.88,$-10.65,0.0
2022-03-31,23.24,$-9.68,0.0
2021-12-31,25.13,$-8.19,0.0
2021-09-30,31.04,$1.44,21.56
2021-06-30,29.18,$3.60,8.11
2021-03-31,29.36,$3.80,7.73
2020-12-31,26.02,$3.66,7.12
2020-09-30,26.54,$3.86,6.87
2020-06-30,29.44,$4.38,6.72
2020-03-31,29.42,$4.28,6.88
2019-12-31,24.85,$3.86,6.44
2019-09-30,18.83,$5.14,3.66
2019-06-30,22.83,$3.89,5.87
2019-03-31,26.29,$3.79,6.94
2018-12-31,26.22,$4.18,6.28
2018-09-30,22.82,$2.47,9.25
2018-06-30,19.26,$2.46,7.84
2018-03-31,21.2,$2.54,8.35
2017-12-31,19.9,$1.53,13.03
2017-09-30,21.75,$0.90,24.23
2017-06-30,17.95,$0.32,55.61
2017-03-31,16.4,$-0.99,0.0
2016-12-31,15.96,$-0.24,0.0
2016-09-30,15.75,$-0.03,0.0
2016-06-30,22.61,$0.10,228.11
2016-03-31,15.48,$1.18,13.1
2015-12-31,12.46,$1.01,12.3
2015-09-30,12.26,$1.02,12.02
2015-06-30,9.81,$0.30,32.21
2015-03-31,8.93,$0.93,9.56
2014-12-31,8.95,$0.96,9.33
2014-09-30,6.99,$0.52,13.56
2014-06-30,8.59,$0.83,10.4
2014-03-31,9.1,$-0.08,0.0
2013-12-31,7.24,$-0.47,0.0
2013-09-30,6.7,$-0.48,0.0
2013-06-30,4.63,$-0.01,0.0
2013-03-31,4.23,$-0.06,0.0
2012-12-31,4.25,$0.17,25.47
2012-09-30,4.77,$0.60,7.96
2012-06-30,3.69,$0.34,10.76
2012-03-31,3.02,$0.27,11.33
2011-12-31,2.84,$0.15,19.52
2011-09-30,2.94,$0.03,100.84
2011-06-30,4.5,$0.13,34.08
2011-03-31,4.77,$0.31,15.43
2010-12-31,4.95,$0.41,12.08
2010-09-30,4.72,$0.41,11.66
2010-06-30,4.61,$0.38,12.2
2010-03-31,4.89,$0.33,14.98
2009-12-31,5.29,$0.44,11.92
