Third Harmonic Bio Price to Free Cash Flow Ratio Historical Data,Third Harmonic Bio Price to Free Cash Flow Ratio Historical Data,Third Harmonic Bio Price to Free Cash Flow Ratio Historical Data,Third Harmonic Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.55,,0.0
2024-09-30,13.55,$-0.71,0.0
2024-06-30,13.0,$-0.42,0.0
2024-03-31,9.44,$-0.51,0.0
2023-12-31,10.97,$-0.52,0.0
2023-09-30,6.39,$-0.00,0.0
2023-06-30,4.81,$-2.81,0.0
