Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data,Cisco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.62,,19.1
2025-01-31,60.6,$3.17,19.09
2024-10-31,54.77,$2.82,19.39
2024-07-31,48.08,$2.51,19.13
2024-04-30,46.23,$3.05,15.18
2024-01-31,48.98,$3.31,14.78
2023-10-31,50.49,$4.27,11.84
2023-07-31,50.04,$4.64,10.79
2023-04-30,45.09,$4.07,11.08
2023-01-31,46.1,$3.72,12.38
2022-10-31,42.69,$3.18,13.42
2022-07-31,42.25,$3.04,13.89
2022-04-30,45.2,$3.24,13.95
2022-01-31,51.02,$3.25,15.7
2021-10-31,50.99,$3.34,15.24
2021-07-31,50.1,$3.49,14.35
2021-04-30,45.75,$3.30,13.86
2021-01-31,39.78,$3.40,11.69
2020-10-31,31.77,$3.62,8.78
2020-07-31,41.3,$3.49,11.84
2020-04-30,36.87,$3.47,10.64
2020-01-31,39.64,$3.45,11.48
2019-10-31,40.67,$3.38,12.04
2019-07-31,47.08,$3.36,14.03
2019-04-30,47.25,$3.32,14.23
2019-01-31,39.69,$2.83,14.02
2018-10-31,38.09,$2.83,13.47
2018-07-31,34.97,$2.64,13.24
2018-04-30,36.34,$2.61,13.93
2018-01-31,33.81,$2.76,12.26
2017-10-31,27.59,$2.66,10.38
2017-07-31,25.19,$2.56,9.85
2017-04-30,27.04,$2.50,10.8
2017-01-31,24.17,$2.44,9.93
2016-10-31,23.93,$2.44,9.79
2016-07-31,23.62,$2.45,9.64
2016-04-30,21.08,$2.50,8.43
2016-01-31,18.07,$2.47,7.32
2015-10-31,21.74,$2.27,9.59
2015-07-31,21.25,$2.21,9.64
2015-04-30,21.39,$2.07,10.36
2015-01-31,19.41,$2.11,9.18
2014-10-31,17.89,$2.11,8.49
2014-07-31,18.31,$2.14,8.57
2014-04-30,16.65,$2.23,7.46
2014-01-31,15.65,$2.18,7.19
2013-10-31,15.99,$2.25,7.11
2013-07-31,18.01,$2.21,8.16
2013-04-30,14.62,$2.05,7.14
2013-01-31,14.26,$2.01,7.09
2012-10-31,11.8,$1.96,6.01
2012-07-31,10.9,$1.93,5.65
2012-04-30,13.7,$1.85,7.42
2012-01-31,13.31,$1.86,7.17
2011-10-31,12.51,$1.75,7.16
2011-07-31,10.74,$1.60,6.71
2011-04-30,11.74,$1.65,7.13
2011-01-31,14.12,$1.61,8.79
2010-10-31,15.26,$1.58,9.68
2010-07-31,15.4,$1.57,9.83
2010-04-30,17.98,$1.36,13.24
2010-01-31,15.0,$1.22,12.32
2009-10-31,15.23,$1.74,8.73
