Repare Therapeutics Price to Free Cash Flow Ratio Historical Data,Repare Therapeutics Price to Free Cash Flow Ratio Historical Data,Repare Therapeutics Price to Free Cash Flow Ratio Historical Data,Repare Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.12,,0.0
2024-12-31,1.31,$-1.80,0.0
2024-09-30,3.44,$-1.84,0.0
2024-06-30,3.3,$-1.90,0.0
2024-03-31,4.71,$-2.03,0.0
2023-12-31,7.3,$-3.07,0.0
2023-09-30,12.08,$-3.02,0.0
2023-06-30,10.58,$-0.18,0.0
2023-03-31,9.84,$-0.05,0.0
2022-12-31,14.71,$-0.01,0.0
2022-09-30,12.13,$0.11,113.47
2022-06-30,13.99,$-2.85,0.0
2022-03-31,14.24,$-2.63,0.0
2021-12-31,21.09,$-2.31,0.0
2021-09-30,26.24,$-2.38,0.0
2021-06-30,31.18,$-6.90,0.0
2021-03-31,30.69,$-0.82,0.0
