Avalon GloboCare Price to Free Cash Flow Ratio Historical Data,Avalon GloboCare Price to Free Cash Flow Ratio Historical Data,Avalon GloboCare Price to Free Cash Flow Ratio Historical Data,Avalon GloboCare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.4,,0.0
2024-09-30,3.12,$-5.54,0.0
2024-06-30,7.05,$-5.55,0.0
2024-03-31,4.8,$-7.76,0.0
2023-12-31,7.25,$-9.29,0.0
2023-09-30,12.04,$-11.43,0.0
2023-06-30,23.1,$-13.19,0.0
2023-03-31,29.7,$-13.22,0.0
2022-12-31,78.0,$-11.31,0.0
2022-09-30,96.15,$-10.90,0.0
2022-06-30,71.25,$-8.84,0.0
2022-03-31,105.11,$-7.07,0.0
2021-12-31,123.0,$-8.92,0.0
2021-09-30,133.2,$-8.80,0.0
2021-06-30,147.38,$-11.59,0.0
2021-03-31,160.5,$-13.26,0.0
2020-12-31,168.0,$-14.44,0.0
2020-09-30,187.5,$-15.10,0.0
2020-06-30,285.0,$-14.26,0.0
2020-03-31,232.5,$-15.75,0.0
2019-12-31,289.5,$-14.92,0.0
2019-09-30,280.5,$-21.53,0.0
