CAVA Price to Free Cash Flow Ratio Historical Data,CAVA Price to Free Cash Flow Ratio Historical Data,CAVA Price to Free Cash Flow Ratio Historical Data,CAVA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.66,,189.31
2024-12-31,112.8,$0.45,252.24
2024-09-30,123.85,$0.06,1923.14
2024-06-30,92.75,$0.39,240.66
2024-03-31,70.05,$-0.62,0.0
