Cheer Holding Price to Free Cash Flow Ratio Historical Data,Cheer Holding Price to Free Cash Flow Ratio Historical Data,Cheer Holding Price to Free Cash Flow Ratio Historical Data,Cheer Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.24
2020-12-31,27.5,$7.35,3.74
2020-06-30,36.7,$4.45,8.25
2020-03-31,41.2,$4.81,8.57
2019-12-31,102.4,$5.61,18.25
2019-09-30,101.8,$-2.30,0.0
2019-06-30,100.1,$0.42,240.28
