Staffing 360 Solutions Price to Free Cash Flow Ratio Historical Data,Staffing 360 Solutions Price to Free Cash Flow Ratio Historical Data,Staffing 360 Solutions Price to Free Cash Flow Ratio Historical Data,Staffing 360 Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-12,1.62,,0.0
2024-09-30,1.37,$-3.97,0.0
2024-06-30,2.1,$19.50,0.11
2024-03-31,2.9,$-13.91,0.0
2023-12-31,4.01,$-24.86,0.0
2023-09-30,6.8,$-32.68,0.0
2023-06-30,6.5,$-63.54,0.0
2023-03-31,15.3,$-41.71,0.0
2022-12-31,28.2,$-45.18,0.0
2022-09-30,30.7,$-88.42,0.0
2022-06-30,58.5,$-127.41,0.0
2022-03-31,80.0,$-160.07,0.0
2021-12-31,91.5,$-140.07,0.0
2021-09-30,195.0,$575.46,0.34
2021-06-30,344.64,$242.21,1.42
2021-03-31,509.94,$31.46,16.21
2020-12-31,403.26,$-97.16,0.0
2020-09-30,363.36,"$-1,087.90",0.0
2020-06-30,474.06,$-878.44,0.0
2020-03-31,210.72,$-845.41,0.0
2019-12-31,480.18,$-830.42,0.0
2019-09-30,652.68,"$-1,162.05",0.0
2019-06-30,919.05,"$-1,986.30",0.0
2019-03-31,860.75,"$-1,223.51",0.0
2018-12-31,889.91,$208.69,4.26
2018-09-30,1209.81,$-224.61,0.0
2018-06-30,785.21,$-273.07,0.0
2018-03-31,1361.04,"$-1,008.76",0.0
2017-12-31,1832.17,"$-1,697.95",0.0
2017-09-30,2588.01,$163.97,15.78
2017-06-30,2035.74,$209.19,9.73
2017-03-31,2239.32,"$1,635.60",1.37
2016-12-31,2264.03,$-0.23,0.0
2016-11-30,3053.61,$-770.84,0.0
2016-09-30,3955.15,$227.49,17.39
2016-08-31,4013.32,"$-1,002.77",0.0
2016-06-30,4594.96,$0.66,6986.4
2016-05-31,5869.62,$0.38,15317.39
