IAC Price to Free Cash Flow Ratio Historical Data,IAC Price to Free Cash Flow Ratio Historical Data,IAC Price to Free Cash Flow Ratio Historical Data,IAC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.54,,13.37
2024-12-31,43.14,$3.63,11.88
2024-09-30,53.82,$2.91,18.48
2024-06-30,46.85,$1.91,24.56
2024-03-31,53.34,$1.27,41.88
2023-12-31,52.38,$0.93,56.14
2023-09-30,50.39,$0.58,87.53
2023-06-30,62.8,$-0.93,0.0
2023-03-31,51.6,$-1.89,0.0
2022-12-31,44.4,$-2.46,0.0
2022-09-30,55.38,$-3.77,0.0
2022-06-30,75.97,$-2.07,0.0
2022-03-31,100.28,$-0.20,0.0
2021-12-31,130.71,$0.35,376.79
2021-09-30,130.29,$1.13,114.87
2021-06-30,154.17,$1.63,94.67
2021-03-31,216.31,$0.68,319.04
2020-12-31,189.35,$0.62,306.94
2020-09-30,119.78,$1.53,78.15
2020-06-30,304.26,$1.65,184.05
2020-03-31,221.57,$2.09,105.81
2019-12-31,249.11,$1.81,137.8
2019-09-30,217.97,$1.38,157.55
