Lifeway Foods Price to Free Cash Flow Ratio Historical Data,Lifeway Foods Price to Free Cash Flow Ratio Historical Data,Lifeway Foods Price to Free Cash Flow Ratio Historical Data,Lifeway Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.69,,57.07
2024-12-31,24.8,$0.42,59.74
2024-09-30,25.92,$0.90,28.8
2024-06-30,12.77,$0.88,14.52
2024-03-31,17.22,$0.69,24.9
2023-12-31,13.41,$0.84,16.03
2023-09-30,10.34,$0.57,18.21
2023-06-30,6.55,$0.41,16.07
2023-03-31,6.04,$0.18,33.02
2022-12-31,5.55,$0.03,162.28
2022-09-30,5.72,$0.03,193.9
2022-06-30,4.97,$-0.07,0.0
2022-03-31,7.22,$0.12,58.89
2021-12-31,4.6,$0.23,19.92
2021-09-30,5.6,$0.28,19.72
2021-06-30,5.18,$0.37,14.14
2021-03-31,5.4,$0.42,12.82
2020-12-31,5.41,$0.29,18.98
2020-09-30,5.03,$0.16,31.72
2020-06-30,2.28,$0.16,13.82
2020-03-31,1.92,$0.04,49.1
2019-12-31,1.99,$0.20,9.97
2019-09-30,2.19,$0.30,7.33
2019-06-30,3.64,$0.09,42.77
2019-03-31,2.42,$0.05,49.19
2018-12-31,1.88,$-0.02,0.0
2018-09-30,2.66,$-0.12,0.0
2018-06-30,5.03,$-0.14,0.0
2018-03-31,5.99,$-0.17,0.0
2017-12-31,8.0,$-0.09,0.0
2017-09-30,8.9,$0.01,0.0
2017-06-30,9.34,$0.15,60.97
2017-03-31,10.73,$0.28,37.74
2016-12-31,11.51,$0.13,91.2
2016-09-30,16.94,$0.26,65.74
2016-06-30,9.67,$0.12,80.45
2016-03-31,10.83,$0.16,67.81
2015-12-31,11.1,$0.31,35.52
2015-09-30,10.48,$0.24,44.37
2015-06-30,19.19,$0.29,65.41
2015-03-31,21.39,$0.18,117.59
2014-12-31,18.53,$0.09,205.66
2014-09-30,13.87,$0.17,80.03
2014-06-30,13.98,$-0.37,0.0
2014-03-31,14.7,$-0.17,0.0
2013-12-31,15.98,$-0.12,0.0
2013-09-30,13.51,$-0.25,0.0
2013-06-30,17.36,$0.37,47.08
2013-03-31,13.83,$0.27,51.78
2012-12-31,8.7,$0.32,27.4
2012-09-30,9.46,$0.40,23.58
2012-06-30,10.32,$0.37,27.53
2012-03-31,9.14,$0.19,47.94
2011-12-31,9.53,$0.16,60.19
2011-09-30,10.55,$0.15,71.21
2011-06-30,11.05,$0.15,73.27
2011-03-31,10.3,$0.22,46.45
2010-12-31,9.44,$0.20,46.45
2010-09-30,10.4,$0.22,47.72
2010-06-30,9.63,$0.25,38.97
2010-03-31,11.73,$0.30,39.5
2009-12-31,11.74,$0.35,33.79
