XBiotech Price to Free Cash Flow Ratio Historical Data,XBiotech Price to Free Cash Flow Ratio Historical Data,XBiotech Price to Free Cash Flow Ratio Historical Data,XBiotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.45,,0.0
2024-12-31,3.95,$-1.06,0.0
2024-09-30,7.73,$-0.96,0.0
2024-06-30,5.14,$-0.81,0.0
2024-03-31,8.13,$-0.71,0.0
2023-12-31,4.0,$-0.63,0.0
2023-09-30,4.12,$-0.62,0.0
2023-06-30,5.94,$-0.61,0.0
2023-03-31,3.45,$-0.49,0.0
2022-12-31,3.51,$-0.51,0.0
2022-09-30,3.62,$-0.45,0.0
2022-06-30,5.63,$-0.57,0.0
2022-03-31,8.64,$1.98,4.36
2021-12-31,11.13,$2.19,5.07
2021-09-30,12.95,$2.29,5.65
2021-06-30,14.41,$2.71,5.32
2021-03-31,14.94,$-0.51,0.0
2020-12-31,13.62,$-2.23,0.0
2020-09-30,16.61,$-2.32,0.0
2020-06-30,11.93,$-2.68,0.0
2020-03-31,9.24,$-1.96,0.0
2019-12-31,16.24,$-0.40,0.0
2019-09-30,9.1,$-0.50,0.0
2019-06-30,6.6,$-0.51,0.0
2019-03-31,9.59,$-0.50,0.0
2018-12-31,4.42,$-0.47,0.0
2018-09-30,2.77,$-0.54,0.0
2018-06-30,3.9,$-0.61,0.0
2018-03-31,4.66,$-0.73,0.0
2017-12-31,3.43,$-1.01,0.0
2017-09-30,3.8,$-1.25,0.0
2017-06-30,4.09,$-1.62,0.0
2017-03-31,14.35,$-1.83,0.0
2016-12-31,8.81,$-1.85,0.0
2016-09-30,11.71,$-1.90,0.0
2016-06-30,18.21,$-1.69,0.0
2016-03-31,8.22,$-1.82,0.0
