Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data,Sonic Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.65,,0.0
2024-12-31,63.35,$-0.64,0.0
2024-09-30,58.17,$-6.76,0.0
2024-06-30,53.9,$-7.18,0.0
2024-03-31,56.04,$-3.21,0.0
2023-12-31,55.0,$-5.89,0.0
2023-09-30,46.48,$-7.81,0.0
2023-06-30,46.15,$-2.55,0.0
2023-03-31,52.27,$-1.34,0.0
2022-12-31,47.14,$5.26,8.97
2022-09-30,41.2,$10.21,4.04
2022-06-30,34.67,$9.02,3.84
2022-03-31,39.98,$4.75,8.42
2021-12-31,46.25,$0.49,94.47
2021-09-30,49.02,$2.06,23.83
2021-06-30,41.64,$-2.52,0.0
2021-03-31,46.02,$6.60,6.97
2020-12-31,35.74,$4.49,7.95
2020-09-30,37.12,$7.85,4.73
2020-06-30,29.42,$7.54,3.9
2020-03-31,12.2,$2.60,4.69
2019-12-31,28.32,$1.28,22.07
2019-09-30,28.61,$-2.84,0.0
2019-06-30,21.2,$-1.32,0.0
2019-03-31,13.39,$-2.69,0.0
2018-12-31,12.35,$-0.01,0.0
2018-09-30,17.3,$-0.94,0.0
2018-06-30,18.36,$-2.11,0.0
2018-03-31,16.84,$-1.89,0.0
2017-12-31,16.35,$-1.60,0.0
2017-09-30,18.03,$-1.53,0.0
2017-06-30,17.15,$-0.35,0.0
2017-03-31,17.63,$-1.01,0.0
2016-12-31,20.09,$0.25,80.58
2016-09-30,16.46,$-0.19,0.0
2016-06-30,14.93,$-1.49,0.0
2016-03-31,16.08,$-0.62,0.0
2015-12-31,19.76,$-2.01,0.0
2015-09-30,17.7,$-0.71,0.0
2015-06-30,20.63,$-0.17,0.0
2015-03-31,21.53,$0.60,36.16
2014-12-31,23.36,$0.55,42.72
2014-09-30,21.15,$-0.22,0.0
2014-06-30,23.0,$0.70,32.76
2014-03-31,19.36,$-1.22,0.0
2013-12-31,21.06,$-0.57,0.0
2013-09-30,20.45,$-1.31,0.0
2013-06-30,18.14,$-2.50,0.0
2013-03-31,18.99,$-1.33,0.0
2012-12-31,17.88,$-2.68,0.0
2012-09-30,16.22,$-0.91,0.0
2012-06-30,11.67,$-1.50,0.0
2012-03-31,15.25,$0.24,63.65
2011-12-31,12.59,$-0.06,0.0
2011-09-30,9.15,$0.12,76.93
2011-06-30,12.4,$-0.06,0.0
2011-03-31,11.83,$-1.67,0.0
2010-12-31,11.15,$2.59,4.31
2010-09-30,8.26,$3.06,2.7
2010-06-30,7.19,$3.61,1.99
2010-03-31,9.25,$6.09,1.52
2009-12-31,8.73,$6.56,1.33
