CIMG Price to Free Cash Flow Ratio Historical Data,CIMG Price to Free Cash Flow Ratio Historical Data,CIMG Price to Free Cash Flow Ratio Historical Data,CIMG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.52,,0.0
2024-06-30,1.6,$-6.39,0.0
2024-03-31,1.32,$-6.81,0.0
2023-12-31,2.54,$-8.89,0.0
2023-09-30,7.2,$-9.48,0.0
2023-06-30,9.59,$-9.19,0.0
2023-03-31,11.85,$-10.79,0.0
2022-12-31,8.65,$-13.61,0.0
2022-09-30,0.33,$-13.83,0.0
2022-06-30,1.01,$-15.56,0.0
2022-03-31,2.19,$-16.68,0.0
2021-12-31,4.14,$-14.29,0.0
2021-09-30,2.2,$-15.39,0.0
2021-06-30,3.15,$-13.81,0.0
2021-03-31,3.49,$-17.68,0.0
