Beyond Air Price to Free Cash Flow Ratio Historical Data,Beyond Air Price to Free Cash Flow Ratio Historical Data,Beyond Air Price to Free Cash Flow Ratio Historical Data,Beyond Air Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-12-31,0.36,$-0.75,0.0
2024-09-30,0.39,$-1.38,0.0
2024-06-30,0.54,$-1.57,0.0
2024-03-31,1.74,$-1.86,0.0
2023-12-31,1.96,$-1.86,0.0
2023-09-30,2.31,$-1.72,0.0
2023-06-30,4.26,$-1.57,0.0
2023-03-31,6.75,$-1.23,0.0
2022-12-31,6.49,$-1.23,0.0
2022-09-30,7.44,$-1.14,0.0
2022-06-30,6.69,$-1.01,0.0
2022-03-31,6.68,$-0.96,0.0
2021-12-31,9.44,$-0.90,0.0
2021-09-30,11.12,$-0.98,0.0
2021-06-30,6.48,$-0.97,0.0
2021-03-31,5.5,$-1.14,0.0
2020-12-31,5.27,$-0.97,0.0
2020-09-30,5.19,$-1.07,0.0
2020-06-30,7.25,$-1.07,0.0
2020-03-31,8.0,$-1.04,0.0
