NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data,NRG Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.64,,9.05
2024-12-31,90.22,$11.01,8.19
2024-09-30,90.67,$15.89,5.71
2024-06-30,77.07,$15.48,4.98
2024-03-31,66.63,$12.76,5.22
2023-12-31,50.5,$5.21,9.69
2023-09-30,37.29,$-9.57,0.0
2023-06-30,35.84,$-17.64,0.0
2023-03-31,32.51,$-12.92,0.0
2022-12-31,29.84,$0.43,69.05
2022-09-30,35.61,$3.69,9.65
2022-06-30,35.19,$15.77,2.23
2022-03-31,35.02,$14.23,2.46
2021-12-31,38.99,$4.30,9.06
2021-09-30,36.66,$9.31,3.94
2021-06-30,35.9,$6.22,5.77
2021-03-31,33.31,$3.04,10.97
2020-12-31,32.89,$6.86,4.79
2020-09-30,26.67,$6.59,4.05
2020-06-30,28.0,$5.77,4.85
2020-03-31,23.24,$5.83,3.98
2019-12-31,33.61,$9.39,3.58
2019-09-30,33.46,$8.51,3.93
2019-06-30,29.65,$13.11,2.26
2019-03-31,35.83,$11.71,3.06
2018-12-31,33.38,$8.29,4.03
2018-09-30,31.5,$10.55,2.99
2018-06-30,25.83,$8.21,3.15
2018-03-31,25.66,$7.32,3.51
2017-12-31,23.91,$5.63,4.24
2017-09-30,21.46,$4.11,5.22
2017-06-30,14.42,$2.46,5.87
2017-03-31,15.64,$2.91,5.37
2016-12-31,10.23,$5.08,2.01
2016-09-30,9.33,$3.21,2.9
2016-06-30,12.45,$2.68,4.65
2016-03-31,10.78,$2.28,4.72
2015-12-31,9.62,$1.05,9.12
2015-09-30,12.0,$2.16,5.54
2015-06-30,18.37,$2.18,8.44
2015-03-31,20.11,$1.68,11.95
2014-12-31,21.39,$2.37,9.02
2014-09-30,24.07,$1.82,13.19
2014-06-30,29.25,$1.80,16.26
2014-03-31,24.9,$1.43,17.36
2013-12-31,22.39,$-2.18,0.0
2013-09-30,21.22,$-5.69,0.0
2013-06-30,20.64,$-8.77,0.0
2013-03-31,20.39,$-8.78,0.0
2012-12-31,17.63,$-9.02,0.0
2012-09-30,16.33,$-7.52,0.0
2012-06-30,13.19,$-6.95,0.0
2012-03-31,11.91,$-7.84,0.0
2011-12-31,13.77,$-4.72,0.0
2011-09-30,16.12,$-1.72,0.0
2011-06-30,18.68,$0.42,44.91
2011-03-31,16.37,$3.93,4.17
2010-12-31,14.85,$3.78,3.93
2010-09-30,15.82,$5.11,3.1
2010-06-30,16.12,$4.99,3.23
2010-03-31,15.88,$5.25,3.02
2009-12-31,17.94,$5.08,3.53
