Verrica Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Verrica Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Verrica Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Verrica Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,0.0
2024-12-31,0.7,$-1.18,0.0
2024-09-30,1.45,$-1.29,0.0
2024-06-30,7.29,$-1.44,0.0
2024-03-31,5.92,$-1.18,0.0
2023-12-31,7.32,$-0.86,0.0
2023-09-30,3.89,$-0.74,0.0
2023-06-30,5.77,$-0.19,0.0
2023-03-31,6.5,$-0.36,0.0
2022-12-31,2.75,$-0.56,0.0
2022-09-30,2.92,$-0.69,0.0
2022-06-30,1.92,$-1.31,0.0
2022-03-31,8.11,$-0.93,0.0
2021-12-31,9.16,$-1.06,0.0
2021-09-30,12.5,$-0.99,0.0
2021-06-30,11.3,$-0.91,0.0
2021-03-31,15.15,$-1.37,0.0
2020-12-31,11.51,$-1.28,0.0
2020-09-30,7.74,$-1.38,0.0
2020-06-30,11.01,$-1.39,0.0
2020-03-31,10.93,$-1.24,0.0
2019-12-31,15.89,$-1.18,0.0
2019-09-30,14.76,$-1.62,0.0
2019-06-30,11.62,$-0.72,0.0
2019-03-31,10.81,$-1.55,0.0
