CrossFirst Bankshares Price to Free Cash Flow Ratio Historical Data,CrossFirst Bankshares Price to Free Cash Flow Ratio Historical Data,CrossFirst Bankshares Price to Free Cash Flow Ratio Historical Data,CrossFirst Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-28,15.99,,8.38
2024-09-30,16.69,$1.91,8.74
2024-06-30,14.02,$1.75,8.01
2024-03-31,13.84,$1.78,7.76
2023-12-31,13.58,$1.85,7.32
2023-09-30,10.09,$1.67,6.03
2023-06-30,10.0,$1.98,5.06
2023-03-31,10.48,$1.74,6.03
2022-12-31,12.41,$1.56,7.94
2022-09-30,13.05,$1.64,7.94
2022-06-30,13.2,$1.35,9.78
2022-03-31,15.76,$2.16,7.3
2021-12-31,15.61,$1.70,9.19
2021-09-30,13.0,$1.78,7.3
2021-06-30,13.75,$1.57,8.74
2021-03-31,13.79,$1.01,13.59
2020-12-31,10.75,$1.44,7.48
2020-09-30,8.69,$1.33,6.55
2020-06-30,9.78,$2.23,4.39
