MYT Netherlands Parent B.V Price to Free Cash Flow Ratio Historical Data,MYT Netherlands Parent B.V Price to Free Cash Flow Ratio Historical Data,MYT Netherlands Parent B.V Price to Free Cash Flow Ratio Historical Data,MYT Netherlands Parent B.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.99,,0.0
2024-12-31,7.1,$-0.20,0.0
2024-09-30,3.81,$0.08,45.68
2024-06-30,5.1,$-0.02,0.0
2024-03-31,3.18,$-0.13,0.0
2023-12-31,3.19,$-0.50,0.0
2023-09-30,3.4,$-1.13,0.0
2023-06-30,4.0,$-0.94,0.0
2023-03-31,7.03,$-0.98,0.0
2022-12-31,8.91,$-0.20,0.0
2022-09-30,11.52,$0.57,20.35
2022-06-30,9.88,$0.56,17.62
2022-03-31,12.23,$0.58,21.18
2021-12-31,21.21,$-0.22,0.0
