Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.17,,25.38
2020-12-31,14.56,$0.48,30.36
2020-09-30,9.84,$-1.35,0.0
2020-06-30,8.24,$-5.81,0.0
2020-03-31,5.79,$-1.61,0.0
2019-12-31,11.83,$1.52,7.79
2019-09-30,10.43,$2.29,4.56
2019-06-30,11.13,$1.84,6.05
2019-03-31,11.95,$2.20,5.44
2018-12-31,11.64,$3.47,3.36
2018-09-30,14.1,$2.84,4.96
2018-06-30,15.21,$3.16,4.81
2018-03-31,16.52,$2.52,6.55
2017-12-31,14.36,$1.29,11.11
2017-09-30,14.42,$1.65,8.76
2017-06-30,8.56,$0.81,10.57
2017-03-31,8.8,$1.62,5.43
2016-12-31,7.34,$1.32,5.58
2016-09-30,5.15,$1.18,4.38
2016-06-30,4.93,$1.26,3.92
2016-03-31,6.49,$0.67,9.72
2015-12-31,11.26,$0.71,15.95
2015-09-30,10.63,$0.51,20.65
2015-06-30,11.7,$0.06,186.56
2015-03-31,13.13,$-0.66,0.0
2014-12-31,9.32,$0.05,186.44
2014-09-30,8.07,$-1.20,0.0
