IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,116.22,,0.0
2024-12-31,109.28,$-7.88,0.0
2024-09-30,102.29,$-8.40,0.0
2024-06-30,91.67,$-8.20,0.0
2024-03-31,90.63,$-5.62,0.0
2023-12-31,95.07,$-6.77,0.0
2023-09-30,89.77,$-6.11,0.0
2023-06-30,97.59,$-6.12,0.0
2023-03-31,102.31,$-5.53,0.0
2022-12-31,101.1,$-1.60,0.0
2022-09-30,92.11,$-1.57,0.0
2022-06-30,97.87,$-0.27,0.0
2022-03-31,105.82,$0.94,113.16
2021-12-31,103.23,$1.25,82.64
2021-09-30,93.51,$2.23,41.92
2021-06-30,87.6,$2.62,33.41
2021-03-31,89.2,$2.44,36.57
2020-12-31,85.0,$1.53,55.69
2020-09-30,70.17,$1.39,50.38
2020-06-30,76.17,$0.70,109.4
2020-03-31,75.97,$1.04,73.17
2019-12-31,91.87,$1.74,52.81
2019-09-30,96.31,$2.65,36.29
2019-06-30,85.32,$3.66,23.34
2019-03-31,84.57,$3.66,23.13
2018-12-31,78.55,$4.23,18.56
2018-09-30,83.2,$3.54,23.5
2018-06-30,76.86,$3.37,22.83
2018-03-31,73.09,$2.67,27.39
2017-12-31,75.12,$2.97,25.31
2017-09-30,71.84,$2.19,32.8
2017-06-30,69.29,$1.42,48.78
2017-03-31,66.91,$1.50,44.65
2016-12-31,64.52,$0.94,68.79
2016-09-30,62.25,$1.58,39.34
2016-06-30,64.28,$1.23,52.25
2016-03-31,58.52,$0.87,67.43
2015-12-31,52.97,$1.18,45.02
2015-09-30,50.02,$0.60,83.18
2015-06-30,43.07,$1.46,29.53
2015-03-31,47.86,$1.58,30.23
2014-12-31,50.04,$1.80,27.83
2014-09-30,40.23,$1.83,22.04
2014-06-30,43.05,$1.77,24.34
2014-03-31,40.97,$1.89,21.71
2013-12-31,37.97,$1.17,32.33
2013-09-30,35.16,$1.95,18.01
2013-06-30,34.44,$1.09,31.49
2013-03-31,34.54,$0.44,77.69
2012-12-31,30.77,$0.19,162.27
2012-09-30,30.45,$-0.03,0.0
2012-06-30,29.38,$-0.77,0.0
2012-03-31,28.47,$-0.59,0.0
2011-12-31,29.14,$-0.56,0.0
2011-09-30,25.77,$-0.77,0.0
2011-06-30,26.73,$-1.70,0.0
2011-03-31,25.59,$-1.12,0.0
2010-12-31,24.64,$-0.29,0.0
2010-09-30,23.74,$-0.90,0.0
2010-06-30,21.8,$1.30,16.83
2010-03-31,22.5,$1.50,15.01
2009-12-31,20.57,$0.74,27.93
