Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,339.29,,17.43
2024-12-31,368.84,$19.47,18.94
2024-09-30,448.74,$19.46,23.06
2024-06-30,403.3,$21.19,19.04
2024-03-31,389.21,$21.60,18.02
2023-12-31,309.56,$21.01,14.73
2023-09-30,256.11,$20.95,12.22
2023-06-30,252.64,$18.76,13.47
2023-03-31,221.84,$17.44,12.72
2022-12-31,230.57,$15.57,14.81
2022-09-30,273.53,$10.42,26.24
2022-06-30,232.2,$5.88,39.5
2022-03-31,238.8,$4.75,50.23
2021-12-31,240.38,$5.39,44.57
2021-09-30,192.16,$7.87,24.43
2021-06-30,184.52,$9.91,18.63
2021-03-31,158.26,$11.28,14.03
2020-12-31,149.65,$10.93,13.69
2020-09-30,116.83,$9.87,11.84
2020-06-30,113.78,$11.19,10.17
2020-03-31,118.56,$9.73,12.19
2019-12-31,152.69,$10.68,14.29
2019-09-30,136.88,$11.04,12.4
2019-06-30,131.59,$7.45,17.67
2019-03-31,114.58,$5.24,21.88
2018-12-31,93.62,$3.59,26.05
2018-09-30,113.01,$1.72,65.58
2018-06-30,100.17,$2.49,40.22
2018-03-31,96.23,$4.53,21.25
2017-12-31,104.39,$4.70,22.2
2017-09-30,91.8,$5.28,17.39
2017-06-30,86.99,$5.52,15.75
2017-03-31,96.7,$5.14,18.81
2016-12-31,99.89,$6.51,15.34
2016-09-30,92.62,$6.65,13.92
2016-06-30,95.11,$7.26,13.1
2016-03-31,89.28,$7.88,11.34
2015-12-31,79.3,$6.95,11.42
2015-09-30,77.86,$6.22,12.52
2015-06-30,88.95,$4.33,20.54
2015-03-31,82.09,$2.77,29.59
2014-12-31,79.76,$2.75,29.06
2014-09-30,70.85,$2.24,31.62
2014-06-30,76.12,$3.94,19.32
2014-03-31,69.54,$5.13,13.56
2013-12-31,69.39,$4.87,14.24
2013-09-30,61.25,$5.56,11.02
2013-06-30,54.12,$5.00,10.83
2013-03-31,58.7,$5.14,11.42
2012-12-31,50.73,$5.38,9.43
2012-09-30,44.66,$4.28,10.44
2012-06-30,45.43,$3.60,12.6
2012-03-31,42.63,$2.52,16.91
2011-12-31,37.69,$1.84,20.52
2011-09-30,27.01,$1.65,16.41
2011-06-30,41.5,$0.64,65.01
2011-03-31,37.43,$0.90,41.48
2010-12-31,33.26,$0.84,39.47
2010-09-30,24.95,$1.54,16.21
2010-06-30,29.93,$1.95,15.33
2010-03-31,31.43,$4.97,6.32
2009-12-31,28.13,$6.18,4.55
