Hawthorn Bancshares Price to Free Cash Flow Ratio Historical Data,Hawthorn Bancshares Price to Free Cash Flow Ratio Historical Data,Hawthorn Bancshares Price to Free Cash Flow Ratio Historical Data,Hawthorn Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.0,,8.82
2024-12-31,28.35,$3.29,8.62
2024-09-30,24.88,$3.80,6.54
2024-06-30,19.53,$3.15,6.2
2024-03-31,19.96,$2.48,8.05
2023-12-31,24.56,$2.23,11.02
2023-09-30,15.61,$2.42,6.45
2023-06-30,17.07,$2.82,6.05
2023-03-31,21.18,$2.60,8.16
2022-12-31,19.57,$2.55,7.67
2022-09-30,19.51,$3.19,6.12
2022-06-30,22.59,$3.10,7.29
2022-03-31,21.39,$4.10,5.22
2021-12-31,21.82,$4.15,5.26
2021-09-30,19.36,$4.12,4.7
2021-06-30,19.04,$4.44,4.29
2021-03-31,17.57,$3.25,5.41
2020-12-31,17.96,$2.66,6.76
2020-09-30,15.44,$2.30,6.71
2020-06-30,15.96,$1.25,12.74
2020-03-31,14.21,$1.88,7.57
2019-12-31,19.61,$2.35,8.35
2019-09-30,18.24,$1.81,10.06
2019-06-30,20.41,$2.22,9.18
2019-03-31,17.61,$2.01,8.78
2018-12-31,15.87,$1.91,8.33
2018-09-30,17.09,$1.84,9.3
2018-06-30,16.39,$1.73,9.48
2018-03-31,14.78,$1.56,9.49
2017-12-31,14.81,$1.52,9.73
2017-09-30,14.72,$1.58,9.34
2017-06-30,14.85,$1.66,8.93
2017-03-31,14.33,$1.43,9.99
2016-12-31,11.99,$1.66,7.24
2016-09-30,10.29,$1.33,7.74
2016-06-30,9.28,$1.41,6.57
2016-03-31,9.51,$1.94,4.9
2015-12-31,10.11,$1.68,6.03
2015-09-30,8.94,$1.94,4.62
2015-06-30,9.13,$1.57,5.82
2015-03-31,8.18,$1.24,6.61
2014-12-31,8.68,$1.65,5.27
2014-09-30,8.34,$1.68,4.96
2014-06-30,7.57,$1.74,4.35
2014-03-31,7.66,$2.15,3.56
2013-12-31,7.01,$2.36,2.97
2013-09-30,7.82,$2.13,3.67
2013-06-30,7.16,$2.06,3.47
2013-03-31,6.34,$2.01,3.15
2012-12-31,4.11,$1.85,2.22
2012-09-30,4.81,$2.36,2.04
2012-06-30,5.0,$2.59,1.93
2012-03-31,3.91,$2.48,1.58
2011-12-31,3.13,$2.35,1.33
2011-09-30,3.72,$2.91,1.28
2011-06-30,3.9,$2.35,1.66
2011-03-31,4.42,$2.59,1.7
2010-12-31,4.19,$2.81,1.49
2010-09-30,4.88,$0.77,6.37
2010-06-30,5.8,$1.17,4.97
2010-03-31,5.41,$1.06,5.13
2009-12-31,4.38,$1.08,4.07
