PAVmed Price to Free Cash Flow Ratio Historical Data,PAVmed Price to Free Cash Flow Ratio Historical Data,PAVmed Price to Free Cash Flow Ratio Historical Data,PAVmed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.77,,0.0
2024-09-30,1.23,$-2.60,0.0
2024-06-30,0.82,$-5.75,0.0
2024-03-31,2.14,$-6.21,0.0
2023-12-31,4.12,$-7.23,0.0
2023-09-30,4.42,$-8.35,0.0
2023-06-30,6.12,$-10.23,0.0
2023-03-31,5.6,$-12.52,0.0
2022-12-31,7.2,$-12.21,0.0
2022-09-30,12.9,$-13.07,0.0
2022-06-30,14.02,$-11.39,0.0
2022-03-31,19.8,$-8.50,0.0
2021-12-31,36.9,$-8.13,0.0
2021-09-30,128.1,$-6.54,0.0
2021-06-30,96.0,$-6.71,0.0
2021-03-31,66.6,$-7.50,0.0
2020-12-31,31.8,$-6.94,0.0
2020-09-30,26.7,$-6.88,0.0
2020-06-30,31.65,$-6.31,0.0
2020-03-31,29.7,$-5.81,0.0
2019-12-31,18.0,$-6.64,0.0
2019-09-30,14.38,$-7.15,0.0
2019-06-30,17.1,$-6.38,0.0
2019-03-31,16.5,$-6.08,0.0
2018-12-31,14.43,$-5.93,0.0
2018-09-30,19.5,$-4.97,0.0
2018-06-30,14.25,$-7.39,0.0
2018-03-31,24.6,$-7.28,0.0
2017-12-31,34.28,$-7.35,0.0
2017-09-30,81.45,$-7.14,0.0
2017-06-30,67.57,$-8.16,0.0
