Kodiak Sciences Price to Free Cash Flow Ratio Historical Data,Kodiak Sciences Price to Free Cash Flow Ratio Historical Data,Kodiak Sciences Price to Free Cash Flow Ratio Historical Data,Kodiak Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.21,,0.0
2024-09-30,2.61,$-2.81,0.0
2024-06-30,2.35,$-3.03,0.0
2024-03-31,5.26,$-3.35,0.0
2023-12-31,3.04,$-3.73,0.0
2023-09-30,1.8,$-3.75,0.0
2023-06-30,6.9,$-4.28,0.0
2023-03-31,6.2,$-4.82,0.0
2022-12-31,7.16,$-4.86,0.0
2022-09-30,7.74,$-5.05,0.0
2022-06-30,7.64,$-5.50,0.0
2022-03-31,7.72,$-5.12,0.0
2021-12-31,84.78,$-4.74,0.0
2021-09-30,95.98,$-4.07,0.0
2021-06-30,93.0,$-3.05,0.0
2021-03-31,113.39,$-2.38,0.0
2020-12-31,146.91,$-1.98,0.0
2020-09-30,59.21,$-1.58,0.0
2020-06-30,54.12,$-1.22,0.0
2020-03-31,47.7,$-1.26,0.0
2019-12-31,71.95,$-1.05,0.0
2019-09-30,14.38,$-2.73,0.0
