XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data,XPeng Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.07,,0.0
2024-09-30,12.18,$-0.18,0.0
2024-06-30,7.33,$-0.17,0.0
2024-03-31,7.68,$-0.18,0.0
2023-12-31,14.59,$-0.18,0.0
2023-09-30,18.36,$-2.16,0.0
2023-06-30,13.42,$-2.64,0.0
2023-03-31,11.11,$-2.16,0.0
2022-12-31,9.94,$-2.16,0.0
2022-09-30,11.95,$-0.64,0.0
2022-06-30,31.74,$-0.74,0.0
2022-03-31,27.59,$-0.64,0.0
2021-12-31,50.33,$-0.64,0.0
2021-09-30,35.54,$-0.19,0.0
