Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data,Vaxcyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.46,,0.0
2024-12-31,81.86,$-3.89,0.0
2024-09-30,114.27,$-4.37,0.0
2024-06-30,75.51,$-4.57,0.0
2024-03-31,68.31,$-4.08,0.0
2023-12-31,62.8,$-3.22,0.0
2023-09-30,50.98,$-2.70,0.0
2023-06-30,49.94,$-2.72,0.0
2023-03-31,37.48,$-2.81,0.0
2022-12-31,47.95,$-2.72,0.0
2022-09-30,24.0,$-2.79,0.0
2022-06-30,21.76,$-2.75,0.0
2022-03-31,24.15,$-2.71,0.0
2021-12-31,23.79,$-2.46,0.0
2021-09-30,25.37,$-2.35,0.0
2021-06-30,22.51,$-0.53,0.0
2021-03-31,19.75,$-1.90,0.0
