Aptorum Group Price to Free Cash Flow Ratio Historical Data,Aptorum Group Price to Free Cash Flow Ratio Historical Data,Aptorum Group Price to Free Cash Flow Ratio Historical Data,Aptorum Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,inf
2023-12-31,2.45,0.0,0.0
2023-06-30,2.7,0.0,0.0
2022-12-31,5.5,0.0,0.0
2022-06-30,13.7,0.0,0.0
2021-12-31,15.0,0.0,0.0
2021-06-30,31.95,0.0,0.0
2020-12-31,24.7,0.0,0.0
2020-06-30,37.9,0.0,0.0
