RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data,RLI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.13,,12.67
2024-12-31,164.83,$6.01,27.43
2024-09-30,151.29,$5.95,25.43
2024-06-30,137.08,$4.62,29.66
2024-03-31,144.66,$4.99,28.98
2023-12-31,129.47,$4.97,26.03
2023-09-30,129.95,$3.29,39.53
2023-06-30,130.24,$3.44,37.85
2023-03-31,126.57,$3.01,42.1
2022-12-31,124.76,$2.67,46.65
2022-09-30,92.06,$4.15,22.2
2022-06-30,104.6,$4.20,24.89
2022-03-31,99.04,$3.87,25.56
2021-12-31,100.11,$4.12,24.3
2021-09-30,87.67,$4.11,21.33
2021-06-30,91.24,$3.71,24.56
2021-03-31,97.1,$3.57,27.17
2020-12-31,90.43,$2.84,31.87
2020-09-30,71.8,$2.71,26.49
2020-06-30,70.22,$2.74,25.64
2020-03-31,74.98,$2.57,29.17
2019-12-31,76.56,$2.98,25.67
2019-09-30,78.04,$2.61,29.95
2019-06-30,71.82,$2.41,29.8
2019-03-31,59.96,$2.53,23.68
2018-12-31,57.47,$2.36,24.4
2018-09-30,65.46,$2.32,28.18
2018-06-30,54.98,$2.42,22.75
2018-03-31,52.48,$2.18,24.11
2017-12-31,50.05,$2.12,23.64
2017-09-30,45.84,$2.11,21.73
2017-06-30,43.48,$1.89,22.99
2017-03-31,47.6,$1.70,28.06
2016-12-31,49.9,$1.80,27.71
2016-09-30,52.15,$1.56,33.36
2016-06-30,52.33,$1.53,34.16
2016-03-31,50.71,$1.56,32.6
2015-12-31,46.7,$1.62,28.9
2015-09-30,39.08,$1.71,22.86
2015-06-30,37.38,$1.71,21.83
2015-03-31,37.98,$1.64,23.2
2014-12-31,35.66,$1.33,26.89
2014-09-30,29.24,$1.47,19.88
2014-06-30,30.8,$1.54,20.05
2014-03-31,29.64,$1.43,20.69
2013-12-31,32.5,$1.37,23.78
2013-09-30,28.24,$1.04,27.12
2013-06-30,24.58,$0.89,27.47
2013-03-31,23.0,$0.20,117.79
2012-12-31,20.61,$0.25,82.23
2012-09-30,19.64,$0.03,779.5
2012-06-30,20.0,$-0.06,0.0
2012-03-31,20.91,$1.06,19.65
2011-12-31,21.17,$1.33,15.92
2011-09-30,17.14,$1.46,11.77
2011-06-30,16.61,$1.70,9.76
2011-03-31,15.39,$1.38,11.11
2010-12-31,13.96,$1.15,12.11
2010-09-30,13.21,$1.25,10.59
2010-06-30,12.19,$1.17,10.46
2010-03-31,13.16,$1.38,9.53
2009-12-31,12.23,$1.46,8.38
