HeartSciences Price to Free Cash Flow Ratio Historical Data,HeartSciences Price to Free Cash Flow Ratio Historical Data,HeartSciences Price to Free Cash Flow Ratio Historical Data,HeartSciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.9,,0.0
2025-01-31,3.23,$-15.06,0.0
2024-10-31,2.94,$-0.14,0.0
2024-07-31,3.85,$-6.41,0.0
2024-04-30,0.09,$-17.40,0.0
2024-01-31,0.15,$-33.50,0.0
2023-10-31,0.25,$-59.38,0.0
2023-07-31,0.87,$-54.22,0.0
2023-04-30,0.89,$-72.85,0.0
