Citius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Citius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Citius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Citius Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.55,,0.0
2024-12-31,4.0,$-3.86,0.0
2024-09-30,12.52,$-4.19,0.0
2024-06-30,14.59,$-4.39,0.0
2024-03-31,22.43,$-4.82,0.0
2023-12-31,18.91,$-4.94,0.0
2023-09-30,17.11,$-4.80,0.0
2023-06-30,30.0,$-4.70,0.0
2023-03-31,29.25,$-4.57,0.0
2022-12-31,19.75,$-4.88,0.0
2022-09-30,30.25,$-4.85,0.0
2022-06-30,23.0,$-5.95,0.0
2022-03-31,44.75,$-4.43,0.0
2021-12-31,38.5,$-2.08,0.0
2021-09-30,50.75,$-5.58,0.0
2021-06-30,87.0,$-6.05,0.0
2021-03-31,44.5,$-7.43,0.0
2020-12-31,25.5,$-10.73,0.0
2020-09-30,26.0,$-10.81,0.0
2020-06-30,28.25,$-12.75,0.0
2020-03-31,15.0,$-14.28,0.0
2019-12-31,25.5,$-16.76,0.0
2019-09-30,18.94,$-15.42,0.0
2019-06-30,24.5,$-16.56,0.0
2019-03-31,35.5,$-18.02,0.0
2018-12-31,26.0,$-22.31,0.0
2018-09-30,42.75,$-26.37,0.0
2018-06-30,57.5,$-56.99,0.0
