Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,81.87,,20.17
2024-12-31,78.1,$4.06,19.24
2024-09-30,76.21,$3.05,24.95
2024-06-30,78.58,$2.72,28.86
2024-03-31,82.78,$3.75,22.09
2023-12-31,84.84,$2.96,28.64
2023-09-30,77.76,$3.45,22.57
2023-06-30,81.81,$3.05,26.79
2023-03-31,83.24,$3.49,23.86
2022-12-31,68.52,$2.99,22.88
2022-09-30,63.05,$2.65,23.76
2022-06-30,69.02,$3.20,21.55
2022-03-31,75.2,$3.12,24.1
2021-12-31,91.25,$3.28,27.8
2021-09-30,84.08,$3.92,21.47
2021-06-30,93.7,$3.96,23.67
2021-03-31,93.89,$3.62,25.91
2020-12-31,92.16,$3.42,26.95
2020-09-30,62.73,$2.70,23.27
2020-06-30,62.15,$2.80,22.22
2020-03-31,50.94,$2.27,22.41
2019-12-31,64.45,$1.93,33.46
2019-09-30,60.36,$2.21,27.28
2019-06-30,60.13,$2.01,29.92
2019-03-31,58.43,$2.54,22.98
2018-12-31,57.21,$2.99,19.11
2018-09-30,64.56,$2.61,24.72
2018-06-30,56.78,$2.36,24.07
2018-03-31,58.34,$2.20,26.55
2017-12-31,56.77,$2.21,25.7
2017-09-30,52.52,$2.69,19.5
2017-06-30,44.59,$2.59,17.24
2017-03-31,47.6,$2.51,18.96
2016-12-31,40.92,$2.57,15.9
2016-09-30,49.02,$2.53,19.36
2016-06-30,43.1,$2.46,17.55
2016-03-31,39.04,$1.57,24.91
2015-12-31,30.13,$2.06,14.63
2015-09-30,29.09,$1.46,19.9
2015-06-30,35.3,$1.49,23.67
2015-03-31,33.87,$2.16,15.65
2014-12-31,38.17,$1.92,19.84
2014-09-30,36.91,$2.76,13.36
2014-06-30,38.15,$2.86,13.33
2014-03-31,39.3,$2.90,13.57
2013-12-31,34.05,$2.51,13.56
2013-09-30,30.48,$2.44,12.52
2013-06-30,29.54,$1.49,19.8
2013-03-31,29.64,$1.49,19.91
2012-12-31,25.9,$1.91,13.56
2012-09-30,25.64,$2.09,12.27
2012-06-30,32.33,$3.28,9.85
2012-03-31,29.79,$3.53,8.45
2011-12-31,23.88,$3.42,6.99
2011-09-30,21.48,$3.20,6.72
2011-06-30,33.24,$2.87,11.58
2011-03-31,38.52,$2.46,15.66
2010-12-31,52.21,$2.32,22.54
2010-09-30,44.47,$2.53,17.57
2010-06-30,49.07,$2.67,18.37
2010-03-31,45.93,$2.58,17.78
2009-12-31,37.36,$3.00,12.44
