"EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data","EnLink Midstream, LLC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-19,13.78,,8.73
2024-09-30,14.38,$1.58,9.11
2024-06-30,13.5,$1.54,8.77
2024-03-31,13.25,$1.86,7.11
2023-12-31,11.69,$1.82,6.41
2023-09-30,11.63,$1.40,8.28
2023-06-30,9.98,$1.59,6.26
2023-03-31,10.07,$1.36,7.4
2022-12-31,11.32,$1.50,7.53
2022-09-30,8.1,$1.64,4.95
2022-06-30,7.66,$1.41,5.43
2022-03-31,8.6,$1.46,5.88
2021-12-31,6.05,$1.37,4.41
2021-09-30,5.92,$1.29,4.6
2021-06-30,5.46,$1.38,3.97
2021-03-31,3.6,$1.18,3.04
2020-12-31,3.04,$0.91,3.33
2020-09-30,1.86,$0.98,1.91
2020-06-30,1.86,$0.72,2.6
2020-03-31,0.8,$0.68,1.17
2019-12-31,4.32,$1.12,3.86
2019-06-30,6.62,$0.09,73.84
2019-03-31,8.2,$0.03,320.14
2018-12-31,5.94,$0.04,168.15
2018-09-30,10.29,$-0.29,0.0
2018-06-30,10.12,$0.44,23.25
2018-03-31,8.86,$0.02,503.23
2017-12-31,10.49,$-0.49,0.0
2017-09-30,10.12,$-5.12,0.0
2017-06-30,10.17,$-4.75,0.0
2017-03-31,11.06,$-4.63,0.0
2016-12-31,10.71,$-3.87,0.0
2016-09-30,9.26,$-2.58,0.0
2016-06-30,8.65,$-2.31,0.0
2016-03-31,6.01,$-2.57,0.0
2015-12-31,7.9,$-2.84,0.0
2015-09-30,9.45,$-0.70,0.0
2015-06-30,15.93,$-1.68,0.0
2015-03-31,16.56,$-2.12,0.0
2014-12-31,17.96,$-2.05,0.0
2014-09-30,20.75,$-1.10,0.0
2014-06-30,20.8,$-0.81,0.0
2014-03-31,16.86,$0.13,134.11
2013-12-31,17.96,$1.83,9.81
2013-06-30,9.72,$0.80,12.11
2013-03-31,9.41,$0.53,17.75
2012-12-31,6.95,0,0.0
2012-09-30,6.74,$-1.31,0.0
2012-06-30,6.67,$-0.17,0.0
2012-03-31,6.68,$0.83,8.07
2011-12-31,5.92,$0.94,6.32
2011-09-30,6.27,$0.90,6.98
2011-06-30,5.5,$1.19,4.61
2011-03-31,4.55,$1.59,2.87
2010-12-31,4.02,$2.13,1.89
2010-09-30,3.56,$6.67,0.53
2010-06-30,2.89,$11.93,0.24
2010-03-31,3.92,$9.58,0.41
2009-12-31,2.72,$10.39,0.26
2009-09-30,2.38,$4.84,0.49
2009-06-30,1.88,$-0.83,0.0
