ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data,ICL Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.97,,10.2
2024-12-31,4.94,$0.59,8.44
2024-09-30,4.21,$0.59,7.08
2024-06-30,4.06,$0.58,6.96
2024-03-31,5.11,$0.66,7.79
2023-12-31,4.71,$0.72,6.54
2023-09-30,5.03,$0.77,6.56
2023-06-30,4.77,$0.91,5.24
2023-03-31,5.51,$1.01,5.46
2022-12-31,5.53,$0.99,5.58
2022-09-30,5.61,$0.92,6.12
2022-06-30,5.67,$0.70,8.09
2022-03-31,7.03,$0.46,15.39
2021-12-31,5.42,$0.35,15.35
2021-09-30,3.95,$0.29,13.73
2021-06-30,3.64,$0.22,16.39
2021-03-31,3.06,$0.16,18.68
2020-12-31,2.65,$0.14,19.06
2020-09-30,1.8,$0.13,13.38
2020-06-30,1.54,$0.26,5.89
2020-03-31,1.51,$0.32,4.65
2019-12-31,2.32,$0.36,6.38
2019-09-30,2.34,$0.34,6.78
2019-06-30,2.32,$0.21,10.99
2019-03-31,2.32,$0.17,13.6
2018-12-31,2.43,$0.04,62.08
2018-09-30,2.51,$0.11,22.47
2018-06-30,1.86,$0.13,14.04
2018-03-31,1.66,$0.16,10.09
2017-12-31,1.56,$0.31,4.96
2017-09-30,1.7,$0.30,5.65
2017-06-30,1.81,$0.32,5.74
2017-03-31,1.54,$0.31,4.89
2016-12-31,1.47,$0.26,5.6
2016-09-30,1.38,$0.20,6.99
2016-06-30,1.36,$0.09,15.13
2016-03-31,1.42,$0.16,9.01
2015-12-31,1.34,$0.06,20.91
2015-09-30,1.7,$0.04,47.27
2015-06-30,2.3,$0.07,33.93
