Cellectis S.A Price to Free Cash Flow Ratio Historical Data,Cellectis S.A Price to Free Cash Flow Ratio Historical Data,Cellectis S.A Price to Free Cash Flow Ratio Historical Data,Cellectis S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.27,,1.36
2024-09-30,2.12,$0.93,2.28
2024-06-30,1.87,$0.72,2.61
2024-03-31,2.65,$-0.13,0.0
2023-12-31,3.08,$-0.45,0.0
2023-09-30,1.58,$-1.21,0.0
2023-06-30,1.97,$-1.47,0.0
2023-03-31,1.93,$-1.71,0.0
2022-12-31,2.1,$-1.97,0.0
2022-09-30,2.29,$-2.45,0.0
2022-06-30,2.83,$-2.65,0.0
2022-03-31,4.54,$-2.42,0.0
2021-12-31,8.12,$-2.75,0.0
2021-09-30,12.61,$-3.44,0.0
2021-06-30,15.47,$-3.42,0.0
2021-03-31,20.21,$-3.96,0.0
2020-12-31,27.06,$-2.96,0.0
2020-09-30,18.5,$-1.89,0.0
2020-06-30,17.8,$-1.79,0.0
2020-03-31,9.2,$-1.51,0.0
2019-12-31,17.12,$-1.92,0.0
2019-09-30,10.4,$-2.37,0.0
2019-06-30,15.6,$-2.10,0.0
2019-03-31,18.34,$-1.75,0.0
2018-12-31,16.65,$-1.76,0.0
2018-09-30,28.22,$-1.46,0.0
2018-06-30,28.29,$-1.33,0.0
2018-03-31,31.51,$-1.43,0.0
2017-12-31,29.15,$-1.33,0.0
2017-09-30,28.45,$-1.05,0.0
2017-06-30,25.82,$-0.90,0.0
2017-03-31,24.0,$-0.98,0.0
2016-12-31,16.95,$-1.31,0.0
2016-09-30,24.08,$-1.33,0.0
2016-06-30,26.59,$-0.59,0.0
2016-03-31,27.5,$-0.83,0.0
2015-12-31,31.03,$-0.02,0.0
