Karat Packaging Price to Free Cash Flow Ratio Historical Data,Karat Packaging Price to Free Cash Flow Ratio Historical Data,Karat Packaging Price to Free Cash Flow Ratio Historical Data,Karat Packaging Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.06,,12.64
2024-09-30,25.89,$2.30,11.26
2024-06-30,29.58,$1.87,15.81
2024-03-31,28.61,$1.99,14.38
2023-12-31,24.85,$2.28,10.89
2023-09-30,23.06,$2.59,8.92
2023-06-30,18.25,$2.89,6.31
2023-03-31,13.33,$2.13,6.25
2022-12-31,14.37,$0.74,19.34
2022-09-30,15.99,$0.21,77.17
2022-06-30,17.06,$-0.70,0.0
2022-03-31,19.85,$-1.01,0.0
