Inspirato Price to Free Cash Flow Ratio Historical Data,Inspirato Price to Free Cash Flow Ratio Historical Data,Inspirato Price to Free Cash Flow Ratio Historical Data,Inspirato Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.04,,0.0
2024-09-30,4.05,$-7.26,0.0
2024-06-30,3.5,$-11.34,0.0
2024-03-31,3.95,$-14.30,0.0
2023-12-31,3.68,$-18.79,0.0
2023-09-30,0.59,$-18.27,0.0
2023-06-30,0.98,$-21.69,0.0
2023-03-31,0.96,$-22.83,0.0
2022-12-31,1.19,$-22.92,0.0
2022-09-30,2.36,$-19.35,0.0
2022-06-30,4.63,$-10.81,0.0
2022-03-31,9.94,$-3.47,0.0
2021-12-31,10.1,$4.69,2.15
