Vacasa Price to Free Cash Flow Ratio Historical Data,Vacasa Price to Free Cash Flow Ratio Historical Data,Vacasa Price to Free Cash Flow Ratio Historical Data,Vacasa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.4,,0.0
2024-12-31,4.9,$-7.52,0.0
2024-09-30,2.81,$-9.75,0.0
2024-06-30,4.87,$-19.27,0.0
2024-03-31,6.82,$-11.11,0.0
2023-12-31,8.2,$-4.67,0.0
2023-09-30,0.46,$-3.35,0.0
2023-06-30,0.68,$-10.70,0.0
2023-03-31,0.96,$-5.03,0.0
2022-12-31,1.26,$-5.44,0.0
2022-09-30,3.07,$-0.12,0.0
