Liquidity Services Price to Free Cash Flow Ratio Historical Data,Liquidity Services Price to Free Cash Flow Ratio Historical Data,Liquidity Services Price to Free Cash Flow Ratio Historical Data,Liquidity Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.9,,16.82
2024-12-31,32.29,$1.84,17.58
2024-09-30,22.8,$1.94,11.76
2024-06-30,19.98,$1.73,11.52
2024-03-31,18.6,$1.38,13.46
2023-12-31,17.21,$1.33,12.98
2023-09-30,17.62,$1.30,13.58
2023-06-30,16.5,$1.24,13.3
2023-03-31,13.17,$1.37,9.58
2022-12-31,14.06,$0.73,19.23
2022-09-30,16.26,$1.09,14.93
2022-06-30,13.44,$1.03,13.06
2022-03-31,17.12,$1.22,13.98
2021-12-31,22.08,$1.58,14.01
2021-09-30,21.61,$1.71,12.61
2021-06-30,25.45,$1.63,15.58
2021-03-31,18.58,$1.62,11.44
2020-12-31,15.91,$1.09,14.54
2020-09-30,7.46,$0.37,20.4
2020-06-30,5.96,$0.16,36.21
2020-03-31,3.88,$-0.36,0.0
2019-12-31,5.96,$-0.66,0.0
2019-09-30,7.4,$-0.36,0.0
2019-06-30,6.09,$-0.44,0.0
2019-03-31,7.71,$-0.70,0.0
2018-12-31,6.17,$-0.46,0.0
2018-09-30,6.35,$-0.09,0.0
2018-06-30,6.55,$-0.61,0.0
2018-03-31,6.5,$-0.50,0.0
2017-12-31,4.85,$-0.94,0.0
2017-09-30,5.9,$-1.26,0.0
2017-06-30,6.35,$-0.46,0.0
2017-03-31,8.0,$-0.00,0.0
2016-12-31,9.75,$1.38,7.06
2016-09-30,11.24,$1.30,8.66
2016-06-30,7.84,$1.18,6.67
2016-03-31,5.18,$1.13,4.59
2015-12-31,6.5,$0.50,12.88
2015-09-30,7.39,$1.21,6.13
2015-06-30,9.63,$1.32,7.29
2015-03-31,9.88,$0.81,12.26
2014-12-31,8.17,$0.45,18.12
2014-09-30,13.75,$0.14,100.0
2014-06-30,15.76,$0.82,19.18
2014-03-31,26.05,$1.15,22.71
2013-12-31,22.66,$1.40,16.22
2013-09-30,33.5,$1.26,26.5
2013-06-30,34.67,$0.68,50.83
2013-03-31,29.81,$0.51,58.03
2012-12-31,40.86,$0.98,41.71
2012-09-30,50.21,$1.38,36.29
2012-06-30,51.18,$0.42,122.41
2012-03-31,44.8,$1.85,24.27
2011-12-31,36.9,$1.38,26.8
2011-09-30,32.07,$1.21,26.6
2011-06-30,23.61,$2.14,11.03
2011-03-31,17.86,$1.01,17.73
2010-12-31,14.05,$1.11,12.63
2010-09-30,16.01,$1.03,15.5
2010-06-30,12.96,$0.92,14.05
2010-03-31,11.54,$0.86,13.36
2009-12-31,10.07,$0.28,35.84
